model,role,intervention,strength,target_layer,acc_math,acc_factual,acc_overall
Qwen3-0.6B,reasoning,none,0.0,-1,0.75,0.5,0.625
Qwen3-0.6B,reasoning,expand,0.05,14,0.625,0.5,0.5625
Qwen3-0.6B,reasoning,expand,0.1,14,0.5,0.125,0.3125
Qwen3-0.6B,reasoning,expand,0.2,14,0.25,0.125,0.1875
Qwen3-0.6B,reasoning,expand,0.5,14,0.125,0.0,0.0625
Qwen3-0.6B,reasoning,compress,1.0,14,0.125,0.125,0.125
Qwen3-0.6B,reasoning,compress,2.0,14,0.125,0.375,0.25
Qwen3-0.6B,reasoning,compress,3.0,14,0.0,0.375,0.1875
Qwen3-0.6B,reasoning,compress,5.0,14,0.375,0.625,0.5
Qwen3-0.6B-Base,base,none,0.0,-1,1.0,1.0,1.0
Qwen3-0.6B-Base,base,expand,0.05,14,1.0,0.75,0.875
Qwen3-0.6B-Base,base,expand,0.1,14,0.625,0.125,0.375
Qwen3-0.6B-Base,base,expand,0.2,14,0.125,0.0,0.0625
Qwen3-0.6B-Base,base,expand,0.5,14,0.125,0.0,0.0625
Qwen3-0.6B-Base,base,compress,1.0,14,0.0,0.125,0.0625
Qwen3-0.6B-Base,base,compress,2.0,14,0.25,0.75,0.5
Qwen3-0.6B-Base,base,compress,3.0,14,0.125,0.625,0.375
Qwen3-0.6B-Base,base,compress,5.0,14,0.25,0.875,0.5625
DSR1-1.5B,reasoning,none,0.0,-1,0.0,0.75,0.375
DSR1-1.5B,reasoning,expand,0.05,14,0.25,0.75,0.5
DSR1-1.5B,reasoning,expand,0.1,14,0.25,0.75,0.5
DSR1-1.5B,reasoning,expand,0.2,14,0.25,0.125,0.1875
DSR1-1.5B,reasoning,expand,0.5,14,0.0,0.0,0.0
DSR1-1.5B,reasoning,compress,1.0,14,0.0,0.0,0.0
DSR1-1.5B,reasoning,compress,2.0,14,0.25,0.25,0.25
DSR1-1.5B,reasoning,compress,3.0,14,0.375,0.375,0.375
DSR1-1.5B,reasoning,compress,5.0,14,0.125,0.625,0.375
Qwen2.5-Math-1.5B,base,none,0.0,-1,0.125,1.0,0.5625
Qwen2.5-Math-1.5B,base,expand,0.05,14,0.25,0.875,0.5625
Qwen2.5-Math-1.5B,base,expand,0.1,14,0.5,0.875,0.6875
Qwen2.5-Math-1.5B,base,expand,0.2,14,0.5,0.25,0.375
Qwen2.5-Math-1.5B,base,expand,0.5,14,0.0,0.0,0.0
Qwen2.5-Math-1.5B,base,compress,1.0,14,0.125,0.25,0.1875
Qwen2.5-Math-1.5B,base,compress,2.0,14,0.125,0.75,0.4375
Qwen2.5-Math-1.5B,base,compress,3.0,14,0.125,0.875,0.5
Qwen2.5-Math-1.5B,base,compress,5.0,14,0.0,1.0,0.5
