model_id,org,family,variant,tier,registry_paradigm,is_quick_test,is_phase_transition,release_date,license,downloads,likes,num_params,num_layers,hidden_size,ffn_size,num_heads,num_kv_heads,head_dim,norm_type,activation,positional_scheme,max_context,sliding_window,vocab_size,num_params_source,ssm_state_size,ssm_conv_kernel,ssm_dt_rank,detected_numeric_keys,detected_numeric_count,has_mamba_key,has_ssm_key,pretrain_tokens,pretrain_tokens_source,tokenizer_type,quant_format_count,quant_formats,hf_api,has_config_json,has_model_card,has_safetensors_index,error_count,has_errors,release_month,release_year,has_ssm_signals,param_b,context_k,log10_params,log10_context,log10_downloads,gqa_ratio,kv_compression,is_gqa,is_mha,ffn_expansion,params_per_layer_m,params_per_head_m,depth_width_ratio,context_per_param,context_per_param_b,downloads_per_param_b,is_long_context_128k,is_extreme_context,has_sliding_window,sliding_window_ratio,pretrain_tokens_suspect,pretrain_tokens_clean,tokens_per_param,has_quant,has_gguf,has_bitsandbytes,has_int8,canonical_head_dim,canonical_norm,canonical_activation,canonical_position,convergence_score,metadata_completeness,inferred_paradigm,taxonomy_gap,explicit_label_disagreement,size_bucket,context_bucket
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB,SmolLM3,3B,tier1,unassigned,False,False,2025-07-08,apache-2.0,80791.0,897.0,3075098624.0,36.0,2048.0,11008.0,16.0,4.0,128.0,rmsnorm,silu,rope,131072.0,,128256.0,safetensors_index.metadata.total_size,,,,,0,False,False,11200000000000.0,model_card_text,PreTrainedTokenizerFast,0,,True,True,True,True,0,False,2025-07-01,2025.0,False,3.075098624,128.0,9.4878590489479,5.11750992628768,4.907368359192106,4.0,0.75,1.0,0.0,5.375,85.41940622222222,192.193664,0.017578125,4.262367358790766e-05,42623.673587907666,26272.65329620856,True,False,False,,False,11200000000000.0,3642.1596083417194,False,False,False,False,True,True,True,True,1.0,1.0,transformer,False,False,3-10B,32k-131k
LiquidAI/LFM2-1.2B-Exp,LiquidAI,LFM2,1.2B-Exp,tier1,liquid,True,False,,,,,,,,,,,,,,,,,,,,,,,0,False,False,,,,0,,False,False,False,False,1,True,,,False,,,,,,,,,,,,,,,,,False,False,False,,False,,,False,False,False,False,False,False,False,False,0.0,0.0,liquid,False,False,,
LiquidAI/LFM2-2.6B-Exp,LiquidAI,LFM2,2.6B-Exp,tier1,liquid,False,False,2025-12-25,other,23315.0,330.0,2569272320.0,30.0,2048.0,10752.0,32.0,8.0,64.0,,,rope,128000.0,,65536.0,hf_api.safetensors.total,,,,conv_dim|conv_dim_out|conv_l_cache,3,False,False,10000000000000.0,model_card_text,PreTrainedTokenizerFast,1,GGUF,True,True,True,True,0,False,2025-12-01,2025.0,False,2.56927232,125.0,9.409810138055938,5.107209969647869,4.367654046647408,4.0,0.75,1.0,0.0,5.25,85.64241066666668,80.28976,0.0146484375,4.9819553576944306e-05,49819.55357694431,9074.553840987941,True,False,False,,False,10000000000000.0,3892.152623198774,True,True,False,False,True,False,False,True,0.5,1.0,liquid,False,False,1-3B,32k-131k
LiquidAI/LFM2-350M-Exp,LiquidAI,LFM2,350M-Exp,tier1,liquid,False,False,,,,,,,,,,,,,,,,,,,,,,,0,False,False,,,,0,,False,False,False,False,1,True,,,False,,,,,,,,,,,,,,,,,False,False,False,,False,,,False,False,False,False,False,False,False,False,0.0,0.0,liquid,False,False,,
Qwen/Qwen3-0.6B,Qwen,Qwen3,0.6B,tier1,transformer,True,True,2025-04-27,apache-2.0,10082918.0,1081.0,751632384.0,28.0,1024.0,3072.0,16.0,8.0,128.0,rmsnorm,silu,rope,131072.0,,151936.0,hf_api.safetensors.total,,,,,0,False,False,38912.0,model_card_text,Qwen2Tokenizer,0,,True,True,True,False,0,False,2025-04-01,2025.0,False,0.751632384,128.0,8.87600548336239,5.11750992628768,7.003586278347096,2.0,0.5,1.0,0.0,3.0,26.844013714285712,46.977024,0.02734375,0.0001743831197140117,174383.1197140117,13414693.425449854,True,False,False,,True,,,False,False,False,False,True,True,True,True,1.0,1.0,transformer,False,False,sub-1B,32k-131k
Qwen/Qwen3-1.7B,Qwen,Qwen3,1.7B,tier1,transformer,False,False,2025-04-27,apache-2.0,4176824.0,422.0,2031739904.0,28.0,2048.0,6144.0,16.0,8.0,128.0,rmsnorm,silu,rope,131072.0,,151936.0,safetensors_index.metadata.total_size,,,,,0,False,False,38912.0,model_card_text,Qwen2Tokenizer,0,,True,True,True,True,0,False,2025-04-01,2025.0,False,2.031739904,128.0,9.307868110360154,5.11750992628768,6.620846279639921,2.0,0.5,1.0,0.0,3.0,72.56213942857143,126.983744,0.013671875,6.451219456877882e-05,64512.19456877882,2055786.7627528764,True,False,False,,True,,,False,False,False,False,True,True,True,True,1.0,1.0,transformer,False,False,1-3B,32k-131k
RWKV/RWKV7-Goose-World3-1.5B-HF,RWKV,RWKV7-Goose-World3,1.5B-HF,tier1,rwkv,True,False,2025-03-17,apache-2.0,209.0,4.0,1527404544.0,24.0,2048.0,8192.0,,,64.0,,sqrelu,,2048.0,,65536.0,hf_api.safetensors.total,,,,,0,False,False,3119000000000.0,model_card_text,RwkvTokenizer,0,,True,True,True,False,0,False,2025-03-01,2025.0,False,1.527404544,2.0,9.183954078286476,3.3113299523037933,2.322219294733919,,,,,4.0,63.641856,,0.01171875,1.3408366552561468e-06,1340.8366552561467,136.8334281975267,False,False,False,,False,3119000000000.0,2042.0261365937117,False,False,False,False,True,False,False,False,0.25,0.8461538461538461,rwkv,False,False,1-3B,<=8k
Zyphra/Zamba2-1.2B,Zyphra,Zamba2,1.2B,tier1,hybrid,False,False,2024-08-16,apache-2.0,789.0,75.0,1215064704.0,38.0,2048.0,8192.0,32.0,32.0,128.0,rmsnorm,gelu,rope,4096.0,,32000.0,hf_api.safetensors.total,128.0,4.0,,mamba_d_conv|mamba_d_state|mamba_expand|mamba_headdim|mamba_ngroups|n_mamba_heads,6,True,False,3000000000000.0,model_card_text,LlamaTokenizer,0,,True,True,True,False,0,False,2024-08-01,2024.0,True,1.215064704,4.0,9.084599405376261,3.612359947967774,2.8976270912904414,1.0,0.0,0.0,1.0,4.0,31.97538694736842,37.970772,0.0185546875,3.371013894581864e-06,3371.0138945818644,649.3481354553444,False,False,False,,False,3000000000000.0,2469.0043173207014,False,False,False,False,True,True,False,True,0.75,1.0,hybrid,False,False,1-3B,<=8k
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai,DeepSeek-R1-Distill-Qwen,1.5B,tier1,reasoning,True,True,2025-01-20,mit,1252044.0,1446.0,1777107310.0,28.0,1536.0,8960.0,12.0,2.0,128.0,rmsnorm,silu,rope,131072.0,4096.0,151936.0,repo_safetensors_file_sizes,,,,,0,False,False,32768.0,model_card_text,LlamaTokenizerFast,0,,True,True,True,False,0,False,2025-01-01,2025.0,False,1.77710731,128.0,9.24971365331669,5.11750992628768,6.09761993821984,6.0,0.8333333333333334,1.0,0.0,5.833333333333333,63.46811821428572,148.09227583333333,0.018229166666666668,7.375581613020319e-05,73755.81613020318,704540.4590677194,True,False,True,0.03125,True,,,False,False,False,False,True,True,True,True,1.0,1.0,reasoning,False,False,1-3B,32k-131k
google/gemma-3-1b-it,google,gemma-3,1b-it,tier1,transformer,False,False,2025-03-10,gemma,1438910.0,840.0,999905604.0,26.0,1152.0,6912.0,4.0,1.0,256.0,rmsnorm,,rope,32768.0,512.0,262144.0,repo_safetensors_file_sizes,,,,,0,False,False,14000000000000.0,model_card_text,GemmaTokenizer,1,BITSANDBYTES,True,True,True,False,0,False,2025-03-01,2025.0,False,0.999905604,32.0,8.99995900240305,4.515449934959718,6.158033932641102,4.0,0.75,1.0,0.0,6.0,38.457907846153844,249.976401,0.022569444444444444,3.2771093460138265e-05,32771.09346013826,1439045.840171129,False,False,True,0.015625,False,14000000000000.0,14001.321668760243,True,False,True,False,False,True,False,True,0.5,1.0,transformer,False,False,sub-1B,8k-32k
