release_month,metric,delta,zscore,direction
2024-03-01,median_adoption_residual,-3.0446058008067616,-1.8679415386619784,down
2024-03-01,transformer_share,-1.0,-1.8144571270933076,down
2025-01-01,median_adoption_residual,2.976865749602335,2.047761724949779,up
2025-01-01,median_convergence_score,1.0,2.027173885552039,up
2025-01-01,recurrent_share,-1.0,-1.6421565517398695,down
2025-02-01,median_context_k,2945.27978515625,2.3002752146946017,up
2025-03-01,median_context_k,-3056.27978515625,-2.3865326662889483,down
2025-03-01,median_convergence_score,-0.875,-1.6585968154516681,down
2025-04-01,median_convergence_score,0.875,1.7814558388184585,up
2025-04-01,model_count,6.0,2.424366106925306,up
2025-05-01,median_hybridization_score,0.9,1.7339403500610873,up
2025-05-01,model_count,-5.0,-2.0203050891044216,down
2025-07-01,hidden_hybrid_share,-0.6,-1.623624219580172,down
2025-07-01,median_hybridization_score,-0.9,-1.8203288372527429,down
2025-07-01,model_count,-4.0,-1.616244071283537,down
2025-07-01,recurrent_share,-1.0,-1.6421565517398695,down
2025-07-01,transformer_share,1.0,2.056384744039082,up
2025-09-01,hidden_hybrid_share,1.0,2.7060403659669534,up
2025-09-01,median_hybridization_score,0.9,1.7339403500610873,up
2025-09-01,transformer_share,-1.0,-1.8144571270933076,down
2025-10-01,median_arch_quality,0.9792734828532351,2.0161552464991104,up
2025-11-01,hidden_hybrid_share,-0.75,-2.029530274475215,down
2025-11-01,median_hybridization_score,-0.8,-1.6228694379575301,down
2025-11-01,recurrent_share,-1.0,-1.6421565517398695,down
