family,model_count,hidden_hybrid_count,hidden_hybrid_share,mean_hybridization_score,median_downloads
granite-4.0,6,6,1.0,0.7666666666666666,24402.0
Falcon-H1,5,3,0.6,0.9,991.0
Nemotron-H,1,1,1.0,0.9,27804.0
granite-4.0-h,2,1,0.5,0.9,5703.5
Zamba2,3,0,0.0,0.6666666666666666,559.0
falcon-mamba,1,0,0.0,0.35,7035.0
xLSTM,1,0,0.0,0.35,652.0
mamba,3,0,0.0,0.3499999999999999,2028.0
LFM2,3,0,0.0,0.25,23315.0
ARWKV-R1,1,0,0.0,0.2,16.0
RWKV7-Goose-World3,1,0,0.0,0.2,209.0
DeepSeek-R1-Distill-Qwen,3,0,0.0,0.0,707158.0
LLaDA,1,0,0.0,0.0,
LLaDA2.0,1,0,0.0,0.0,34822.0
Olmo-3,1,0,0.0,0.0,
Olmo-3-1125,1,0,0.0,0.0,6946.0
Phi-4,3,0,0.0,0.0,10187.0
Qwen3,6,0,0.0,0.0,4431408.5
SmolLM3,1,0,0.0,0.0,80791.0
TinyLlama,1,0,0.0,0.0,1770914.0
gemma-3,4,0,0.0,0.0,1333934.0
gpt-oss,1,0,0.0,0.0,5509274.0
