release_month,model_count,transformer_share,recurrent_share,hidden_hybrid_share,median_convergence_score,median_hybridization_score,median_context_k,median_kv_compression,median_arch_quality,median_log_downloads,median_adoption_residual,delta_model_count,delta_transformer_share,delta_recurrent_share,delta_hidden_hybrid_share,delta_median_convergence_score,delta_median_hybridization_score,delta_median_context_k,delta_median_arch_quality,delta_median_adoption_residual
2023-12-01,1,1.0,0.0,0.0,1.0,0.0,2.0,0.875,0.0625475553878777,6.248197716516519,2.4314946818640837,,,,,,,,,
2024-03-01,3,0.0,1.0,0.0,0.25,0.35,,,-0.3562742973245038,3.307282047033346,-0.6131111189426779,2.0,-1.0,1.0,0.0,-0.75,0.35,,-0.4188218527123815,-3.0446058008067616
2024-07-01,2,0.0,1.0,0.0,0.375,0.625,4.0,0.0,-0.8047041906002663,3.297756928895812,-0.9499718809989806,-1.0,0.0,0.0,0.0,0.125,0.275,,-0.44842989327576255,-0.33686076205630267
2024-08-01,1,0.0,1.0,0.0,0.75,0.9,4.0,0.0,-0.9647488644416764,2.8976270912904414,-1.1672708269479792,-1.0,0.0,0.0,0.0,0.375,0.275,0.0,-0.16004467384141008,-0.21729894594899868
2024-09-01,1,0.0,1.0,0.0,0.0,0.2,,,-0.32012583143802226,1.5440680443502757,-2.8668192052829857,0.0,0.0,0.0,0.0,-0.75,-0.7,,0.6446230330036542,-1.6995483783350065
2024-12-01,1,0.0,1.0,0.0,0.0,0.35,,,-0.32012583143802226,2.814913181275074,-1.6597800234281177,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,,0.0,1.207039181854868
2025-01-01,3,0.0,0.0,0.0,1.0,0.0,128.0,0.8333333333333334,0.39705615717204945,5.849517073003415,1.3170857261742173,2.0,0.0,-1.0,0.0,1.0,-0.35,,0.7171819886100717,2.976865749602335
2025-02-01,3,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,3073.27978515625,0.761904761904762,0.15145423746507153,5.314128561700311,0.8671739781774139,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,2945.27978515625,-0.24560191970697792,-0.44991174799680334
2025-03-01,4,0.75,0.25,0.0,0.125,0.0,17.0,0.75,-0.30589995685958327,6.123785663512039,1.4445823745783408,1.0,0.08333333333333337,-0.08333333333333331,0.0,-0.875,0.0,-3056.27978515625,-0.4573541943246548,0.5774083964009269
2025-04-01,10,0.6,0.2,0.2,1.0,0.0,128.0,0.75,0.3141440460068133,6.02437817808568,1.215451190324603,6.0,-0.15000000000000002,-0.04999999999999999,0.2,0.875,0.0,111.0,0.6200440028663965,-0.2291311842537378
2025-05-01,5,0.0,1.0,0.6,1.0,0.9,128.0,0.8,0.366647022698698,2.9965116721541785,-1.1852919194959162,-5.0,-0.6,0.8,0.39999999999999997,0.0,0.9,0.0,0.052502976691884695,-2.400743109820519
2025-07-01,1,1.0,0.0,0.0,1.0,0.0,128.0,0.75,0.35977707697590017,4.907368359192106,0.3578449266791681,-4.0,1.0,-1.0,-0.6,0.0,-0.9,0.0,-0.00686994572279781,1.5431368461750843
2025-08-01,1,1.0,0.0,0.0,1.0,0.0,128.0,0.875,-0.24658554518396325,6.741094451081204,1.8363111258787326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6063626221598635,1.4784661991995645
2025-09-01,3,0.0,1.0,1.0,0.75,0.9,128.0,0.75,-0.7249314420128279,4.76242346269934,-0.2432911254071266,2.0,-1.0,1.0,1.0,-0.25,0.9,0.0,-0.47834589682886464,-2.079602251285859
2025-10-01,4,0.0,1.0,0.75,0.875,0.8,80.0,0.7083333333333334,0.25434204084040724,3.919987384778889,-0.5839996560208955,1.0,0.0,0.0,-0.25,0.125,-0.09999999999999998,-48.0,0.9792734828532351,-0.34070853061376893
2025-11-01,2,0.5,0.0,0.0,1.0,0.0,48.0,0.775,-0.1336511597781411,4.19183174085946,-0.8265619662379273,-2.0,0.5,-1.0,-0.75,0.125,-0.8,-32.0,-0.38799320061854836,-0.24256231021703178
2025-12-01,1,0.0,1.0,0.0,0.5,0.35,125.0,0.75,0.10777369615097525,4.367654046647408,-0.32260997775460254,-1.0,-0.5,1.0,0.0,-0.5,0.35,77.0,0.24142485592911633,0.5039519884833248
