feature,release_month,dominant_value,dominance_share,normalized_entropy,model_count
feature_activation,2023-11-01,unknown,1.0,0.0,1
feature_activation,2023-12-01,silu,0.6666666666666666,0.9182958340516042,3
feature_activation,2024-01-01,unknown,1.0,0.0,1
feature_activation,2024-02-01,silu,1.0,0.0,1
feature_activation,2024-03-01,silu,1.0,0.0,6
feature_activation,2024-04-01,silu,0.6666666666666666,0.9182958340516042,3
feature_activation,2024-05-01,unknown,1.0,0.0,5
feature_activation,2024-06-01,gelu_pytorch_tanh,0.6666666666666666,0.9182958340516042,3
feature_activation,2024-07-01,silu,0.4,0.8609640474407958,10
feature_activation,2024-08-01,unknown,0.6666666666666666,0.9182958340516042,6
feature_activation,2024-09-01,silu,0.7857142857142857,0.5970948432852609,14
feature_activation,2024-10-01,silu,0.5,0.9206198357115741,6
feature_activation,2024-11-01,silu,0.8333333333333334,0.6500224216454689,6
feature_activation,2024-12-01,silu,0.75,0.8112781244562475,8
feature_activation,2025-01-01,silu,1.0,0.0,9
feature_activation,2025-02-01,silu,0.75,0.8112781244562475,4
feature_activation,2025-03-01,unknown,0.5714285714285714,0.8699155297708953,7
feature_activation,2025-04-01,silu,0.7857142857142857,0.7495952572565947,14
feature_activation,2025-05-01,silu,1.0,0.0,6
feature_activation,2025-07-01,silu,1.0,0.0,1
feature_activation,2025-08-01,silu,1.0,0.0,1
feature_activation,2025-09-01,silu,1.0,0.0,3
feature_activation,2025-10-01,silu,1.0,0.0,4
feature_activation,2025-11-01,silu,1.0,0.0,2
feature_activation,2025-12-01,unknown,1.0,0.0,1
feature_context,2023-11-01,unknown,1.0,0.0,1
feature_context,2023-12-01,8k-32k,0.3333333333333333,0.9999999999972693,3
feature_context,2024-01-01,<=8k,1.0,0.0,1
feature_context,2024-02-01,8k-32k,1.0,0.0,1
feature_context,2024-03-01,unknown,0.8333333333333334,0.6500224216454689,6
feature_context,2024-04-01,32k-131k,0.3333333333333333,0.9999999999972693,3
feature_context,2024-05-01,unknown,1.0,0.0,5
feature_context,2024-06-01,<=8k,0.6666666666666666,0.9182958340516042,3
feature_context,2024-07-01,unknown,0.6,0.8173454221437794,10
feature_context,2024-08-01,unknown,0.6666666666666666,0.9182958340516042,6
feature_context,2024-09-01,32k-131k,0.6428571428571429,0.7005767548428452,14
feature_context,2024-10-01,<=8k,0.3333333333333333,0.9591479170243595,6
feature_context,2024-11-01,8k-32k,0.5,0.9206198357115741,6
feature_context,2024-12-01,8k-32k,0.5,0.8749999999971146,8
feature_context,2025-01-01,32k-131k,0.5555555555555556,0.9057125980111065,9
feature_context,2025-02-01,32k-131k,0.25,0.9999999999971146,4
feature_context,2025-03-01,unknown,0.42857142857142855,0.9211854965856692,7
feature_context,2025-04-01,32k-131k,0.6428571428571429,0.7419158534194591,14
feature_context,2025-05-01,>131k,0.5,0.9206198357115741,6
feature_context,2025-07-01,32k-131k,1.0,0.0,1
feature_context,2025-08-01,32k-131k,1.0,0.0,1
feature_context,2025-09-01,32k-131k,1.0,0.0,3
feature_context,2025-10-01,32k-131k,0.5,0.9999999999971146,4
feature_context,2025-11-01,32k-131k,0.5,0.9999999999971146,2
feature_context,2025-12-01,32k-131k,1.0,0.0,1
feature_gqa,2023-11-01,unknown,1.0,0.0,1
feature_gqa,2023-12-01,gqa_high,0.3333333333333333,0.9999999999972693,3
feature_gqa,2024-01-01,unknown,1.0,0.0,1
feature_gqa,2024-02-01,mha,1.0,0.0,1
feature_gqa,2024-03-01,unknown,0.8333333333333334,0.6500224216454689,6
feature_gqa,2024-04-01,gqa_high,0.6666666666666666,0.9182958340516042,3
feature_gqa,2024-05-01,unknown,1.0,0.0,5
feature_gqa,2024-06-01,gqa_mid,1.0,0.0,3
feature_gqa,2024-07-01,unknown,0.6,0.8649735207151964,10
feature_gqa,2024-08-01,unknown,0.6666666666666666,0.9182958340516042,6
feature_gqa,2024-09-01,gqa_high,0.6428571428571429,0.8120406807913693,14
feature_gqa,2024-10-01,gqa_high,0.3333333333333333,0.9591479170243595,6
feature_gqa,2024-11-01,gqa_high,0.6666666666666666,0.7896900821401168,6
feature_gqa,2024-12-01,gqa_mid,0.625,0.8194483718700727,8
feature_gqa,2025-01-01,gqa_high,0.6666666666666666,0.7725068857115294,9
feature_gqa,2025-02-01,gqa_mid,0.5,0.9463946303544555,4
feature_gqa,2025-03-01,unknown,0.5714285714285714,0.8699155297708953,7
feature_gqa,2025-04-01,gqa_mid,0.6428571428571429,0.8120406807913693,14
feature_gqa,2025-05-01,gqa_high,0.6666666666666666,0.9182958340516042,6
feature_gqa,2025-07-01,gqa_mid,1.0,0.0,1
feature_gqa,2025-08-01,gqa_high,1.0,0.0,1
feature_gqa,2025-09-01,gqa_mid,0.6666666666666666,0.9182958340516042,3
feature_gqa,2025-10-01,gqa_mid,1.0,0.0,4
feature_gqa,2025-11-01,gqa_high,0.5,0.9999999999971146,2
feature_gqa,2025-12-01,gqa_mid,1.0,0.0,1
feature_head_dim,2023-11-01,128,1.0,0.0,1
feature_head_dim,2023-12-01,128,0.6666666666666666,0.9182958340516042,3
feature_head_dim,2024-01-01,unknown,1.0,0.0,1
feature_head_dim,2024-02-01,128,1.0,0.0,1
feature_head_dim,2024-03-01,unknown,0.8333333333333334,0.6500224216454689,6
feature_head_dim,2024-04-01,128,0.6666666666666666,0.9182958340516042,3
feature_head_dim,2024-05-01,unknown,1.0,0.0,5
feature_head_dim,2024-06-01,128,0.6666666666666666,0.9182958340516042,3
feature_head_dim,2024-07-01,other,0.4,0.9609640474407958,10
feature_head_dim,2024-08-01,unknown,0.6666666666666666,0.7896900821401168,6
feature_head_dim,2024-09-01,128,0.7142857142857143,0.6458459985661443,14
feature_head_dim,2024-10-01,128,0.3333333333333333,0.9591479170243595,6
feature_head_dim,2024-11-01,128,0.6666666666666666,0.7896900821401168,6
feature_head_dim,2024-12-01,other,0.625,0.8194483718700727,8
feature_head_dim,2025-01-01,128,0.7777777777777778,0.7642045065057349,9
feature_head_dim,2025-02-01,128,0.75,0.8112781244562475,4
feature_head_dim,2025-03-01,unknown,0.42857142857142855,0.9211854965856692,7
feature_head_dim,2025-04-01,128,0.8571428571428571,0.591672778579442,14
feature_head_dim,2025-05-01,128,0.8333333333333334,0.6500224216454689,6
feature_head_dim,2025-07-01,128,1.0,0.0,1
feature_head_dim,2025-08-01,64,1.0,0.0,1
