model_id,family,org,release_date,registry_paradigm,inferred_paradigm,hybridization_score,hard_hybrid_evidence,name_ssm_hint,numeric_ssm_evidence,layer_mix_evidence,downloads,param_b,max_context,candidate_reasons,detected_numeric_keys
Zyphra/Zamba2-1.2B-instruct,Zamba2,Zyphra,2024-09-19,unassigned,hybrid,0.9,1.0,1.0,1.0,0.0,59819.0,1.215064704,4096.0,ssm_plus_attention|name_hint|ssm_numeric_keys,mamba_d_conv|mamba_d_state|mamba_expand|mamba_headdim|mamba_ngroups|n_mamba_heads
ibm-granite/granite-4.0-h-small,granite-4.0,ibm-granite,2025-09-16,unassigned,hybrid,0.9,1.0,1.0,1.0,0.0,59123.0,32.207337984,131072.0,ssm_plus_attention|name_hint|ssm_numeric_keys,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads
nvidia/Nemotron-H-4B-Instruct-128K,Nemotron-H,nvidia,2025-04-15,unassigned,hybrid,0.9,1.0,1.0,1.0,0.0,28485.0,4.48922304,131072.0,ssm_plus_attention|name_hint|ssm_numeric_keys,conv_kernel|mamba_head_dim|mamba_num_heads|ssm_state_size
ibm-granite/granite-4.0-h-tiny,granite-4.0,ibm-granite,2025-09-16,unassigned,hybrid,0.9,1.0,1.0,1.0,0.0,23075.0,6.939037248,131072.0,ssm_plus_attention|name_hint|ssm_numeric_keys,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads
Zyphra/Zamba2-7B-Instruct,Zamba2,Zyphra,2024-10-10,unassigned,hybrid,0.9,1.0,1.0,1.0,0.0,10925.0,7.356749648,4096.0,ssm_plus_attention|name_hint|ssm_numeric_keys,hybrid_layer_ids|mamba_d_conv|mamba_d_state|mamba_expand|mamba_headdim|mamba_ngroups|n_mamba_heads
ibm-granite/granite-4.0-h-350m,granite-4.0-h,ibm-granite,2025-10-07,unassigned,hybrid,0.9,1.0,1.0,1.0,0.0,4160.0,0.340352432,32768.0,ssm_plus_attention|name_hint|ssm_numeric_keys,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads
tiiuae/Falcon-H1-3B-Instruct,Falcon-H1,tiiuae,2025-05-01,unassigned,hybrid,0.9,1.0,1.0,1.0,0.0,2626.0,3.149392384,131072.0,ssm_plus_attention|name_hint|ssm_numeric_keys,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_ssm|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads|ssm_in_multiplier|ssm_multipliers|ssm_out_multiplier
tiiuae/Falcon-H1-34B-Base,Falcon-H1,tiiuae,2025-05-01,unassigned,hybrid,0.9,1.0,1.0,1.0,0.0,1453.0,33.642516224,262144.0,ssm_plus_attention|name_hint|ssm_numeric_keys,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_ssm|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads|ssm_in_multiplier|ssm_multipliers|ssm_out_multiplier
tiiuae/Falcon-H1-34B-Instruct,Falcon-H1,tiiuae,2025-05-01,unassigned,hybrid,0.9,1.0,1.0,1.0,0.0,1439.0,33.642516224,262144.0,ssm_plus_attention|name_hint|ssm_numeric_keys,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_ssm|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads|ssm_in_multiplier|ssm_multipliers|ssm_out_multiplier
Zyphra/Zamba2-2.7B-instruct,Zamba2,Zyphra,2024-08-29,unassigned,hybrid,0.9,1.0,1.0,1.0,0.0,198.0,2.66221456,4096.0,ssm_plus_attention|name_hint|ssm_numeric_keys,hybrid_layer_ids|mamba_d_conv|mamba_d_state|mamba_expand|mamba_headdim|mamba_ngroups|n_mamba_heads
ibm-granite/granite-4.0-micro,granite-4.0,ibm-granite,2025-09-16,unassigned,hybrid,0.7,1.0,0.0,1.0,0.0,59036.0,3.40283648,131072.0,ssm_plus_attention|ssm_numeric_keys,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads
ibm-granite/granite-4.0-tiny-preview,granite-4.0,ibm-granite,2025-04-30,unassigned,hybrid,0.7,1.0,0.0,1.0,0.0,26137.0,6.671539776,131072.0,ssm_plus_attention|ssm_numeric_keys,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads
ibm-granite/granite-4.0-1b,granite-4.0,ibm-granite,2025-10-07,transformer,hybrid,0.7,1.0,0.0,1.0,0.0,10350.0,1.631769232,131072.0,ssm_plus_attention|ssm_numeric_keys,mamba_chunk_size|mamba_d_conv|mamba_d_head|mamba_d_state|mamba_expand|mamba_n_groups|mamba_n_heads
