family,model_count,hidden_hybrid_count,hidden_hybrid_share,mean_hybridization_score,median_downloads
granite-4.0,6,6,1.0,0.7666666666666666,24606.0
Falcon-H1,6,3,0.5,0.9,1446.0
Zamba2,6,3,0.5,0.7833333333333333,681.0
Nemotron-H,1,1,1.0,0.9,28485.0
granite-4.0-h,2,1,0.5,0.9,5752.5
Jamba,1,1,1.0,0.7,915.0
StripedHyena-Hessian,1,1,1.0,0.7,374.0
Hymba,1,0,0.0,0.7,374.0
StripedHyena-Nous,1,0,0.0,0.7,56.0
falcon-mamba,2,0,0.0,0.35,6975.5
mamba,5,0,0.0,0.35,4265.0
xLSTM,1,0,0.0,0.35,694.0
LFM2,3,0,0.0,0.25,21514.0
v6-Finch,3,0,0.0,0.20000000000000004,5221.0
ARWKV-R1,1,0,0.0,0.2,16.0
RWKV7-Goose-World3,1,0,0.0,0.2,212.0
mamba2,5,0,0.0,0.2,484.0
v5-Eagle,1,0,0.0,0.2,5904.0
v6,1,0,0.0,0.2,54.0
Baichuan-M1,1,0,0.0,0.15,178.0
AI21,2,0,0.0,0.05,5126.0
DeepSeek,3,0,0.0,0.0,567566.0
DeepSeek-R1-Distill-Llama,2,0,0.0,0.0,377236.5
DeepSeek-R1-Distill-Qwen,3,0,0.0,0.0,717189.0
Falcon3,4,0,0.0,0.0,7703.0
LLaDA,1,0,0.0,0.0,
LLaDA2.0,1,0,0.0,0.0,34462.0
Llama-3.1,1,0,0.0,0.0,5837840.0
Llama-3.1-Nemotron,1,0,0.0,0.0,16993.0
Llama-3.2,1,0,0.0,0.0,2210460.0
Llama-3.3,1,0,0.0,0.0,776659.0
Llama-3_1-Nemotron,1,0,0.0,0.0,3469.0
Llama-4-Maverick,1,0,0.0,0.0,17506.0
Llama-4-Scout,1,0,0.0,0.0,196630.0
Marco,1,0,0.0,0.0,3304.0
Ministral,1,0,0.0,0.0,111051.0
Mistral,1,0,0.0,0.0,10588.0
Mistral-Small,1,0,0.0,0.0,763185.0
Mistral-Small-3.1,1,0,0.0,0.0,93917.0
Mixtral,2,0,0.0,0.0,288957.5
OLMo-2-0325,1,0,0.0,0.0,1533.0
OLMoE,1,0,0.0,0.0,21439.0
Olmo-3,1,0,0.0,0.0,
Olmo-3-1125,1,0,0.0,0.0,6884.0
Phi-4,4,0,0.0,0.0,111309.5
QwQ,2,0,0.0,0.0,37166.5
Qwen1.5,1,0,0.0,0.0,61805.0
Qwen2.5,8,0,0.0,0.0,297628.0
Qwen2.5-Coder,2,0,0.0,0.0,489256.5
Qwen3,7,0,0.0,0.0,4314635.0
Rene-v0.1,1,0,0.0,0.0,6.0
SmolLM3,1,0,0.0,0.0,82514.0
Spiral-RetNet,1,0,0.0,0.0,2.0
TinyLlama,1,0,0.0,0.0,1789018.0
aya-expanse,2,0,0.0,0.0,38940.5
c4ai,2,0,0.0,0.0,6783.5
gemma-2,3,0,0.0,0.0,337883.0
gemma-3,4,0,0.0,0.0,1363739.5
gpt-oss,1,0,0.0,0.0,5532100.0
granite-3.1,1,0,0.0,0.0,97035.0
granite-3.2,1,0,0.0,0.0,10598.0
internlm2_5,1,0,0.0,0.0,26152.0
internlm3,1,0,0.0,0.0,8816.0
phi-4,1,0,0.0,0.0,225153.0
snowflake,1,0,0.0,0.0,6147.0
