model_id,org,family,variant,tier,registry_paradigm,is_quick_test,is_phase_transition,release_date,license,downloads,likes,num_params,num_layers,hidden_size,ffn_size,num_heads,num_kv_heads,head_dim,norm_type,activation,positional_scheme,max_context,sliding_window,vocab_size,num_params_source,ssm_state_size,ssm_conv_kernel,ssm_dt_rank,detected_numeric_keys,detected_numeric_count,has_mamba_key,has_ssm_key,pretrain_tokens,pretrain_tokens_source,tokenizer_type,quant_format_count,quant_formats,hf_api,has_config_json,has_model_card,has_safetensors_index,error_count,has_errors,num_ssm_layers,num_attention_layers,ssm_layer_ratio,attention_layer_ratio,release_month,release_year,has_ssm_signals,param_b,context_k,log10_params,log10_context,log10_downloads,gqa_ratio,kv_compression,is_gqa,is_mha,ffn_expansion,params_per_layer_m,params_per_head_m,depth_width_ratio,context_per_param,context_per_param_b,downloads_per_param_b,is_long_context_128k,is_extreme_context,has_sliding_window,sliding_window_ratio,pretrain_tokens_suspect,pretrain_tokens_clean,tokens_per_param,has_quant,has_gguf,has_bitsandbytes,has_int8,canonical_head_dim,canonical_norm,canonical_activation,canonical_position,convergence_score,metadata_completeness,inferred_paradigm,taxonomy_gap,explicit_label_disagreement,size_bucket,context_bucket,recency_months,name_ssm_hint,has_attention,hard_hybrid_evidence,layer_mix_evidence,numeric_ssm_evidence,hybridization_score,hidden_hybrid_candidate,ffn_balance,log_context_efficiency,architecture_quality_index,is_long_context_128k_f,has_quant_f,has_ssm_signals_f,adoption_residual
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB,SmolLM3,3B,tier1,unassigned,False,False,2025-07-08,apache-2.0,82514.0,897.0,3075098624.0,36.0,2048.0,11008.0,16.0,4.0,128.0,rmsnorm,silu,rope,131072.0,,128256.0,safetensors_index.metadata.total_size,,,,,0,False,False,11200000000000.0,model_card_text,PreTrainedTokenizerFast,0,,True,True,True,True,0,False,,,,,2025-07-01,2025.0,False,3.075098624,128.0,9.4878590489479,5.11750992628768,4.9165329040054475,4.0,0.75,1.0,0.0,5.375,85.41940622222222,192.193664,0.017578125,4.262367358790766e-05,42623.673587907666,26832.960528813273,True,False,False,,False,11200000000000.0,3642.1596083417194,False,False,False,False,True,True,True,True,1.0,1.0,transformer,False,False,3-10B,32k-131k,5.5847568988173455,0.0,1.0,0.0,0.0,0.0,0.0,False,0.65625,4.62965087733978,0.5520454382430737,1.0,0.0,0.0,0.27525269475350367
LiquidAI/LFM2-1.2B-Exp,LiquidAI,LFM2,1.2B-Exp,tier1,liquid,True,False,,,,,,,,,,,,,,,,,,,,,,,0,False,False,,,,0,,False,False,False,False,1,True,,,,,,,False,,,,,,,,,,,,,,,,,False,False,False,,False,,,False,False,False,False,False,False,False,False,0.0,0.0,liquid,False,False,,,,1.0,0.0,0.0,0.0,0.0,0.2,False,,,-0.3580401809311764,0.0,0.0,0.0,
LiquidAI/LFM2-2.6B-Exp,LiquidAI,LFM2,2.6B-Exp,tier1,liquid,False,False,2025-12-25,other,21514.0,330.0,2569272320.0,30.0,2048.0,10752.0,32.0,8.0,64.0,,,rope,128000.0,,65536.0,hf_api.safetensors.total,,,,conv_dim|conv_dim_out|conv_l_cache,3,False,False,10000000000000.0,model_card_text,PreTrainedTokenizerFast,1,GGUF,True,True,True,True,0,False,,,,,2025-12-01,2025.0,False,2.56927232,125.0,9.409810138055938,5.107209969647869,4.3327413504185746,4.0,0.75,1.0,0.0,5.25,85.64241066666668,80.28976,0.0146484375,4.9819553576944306e-05,49819.55357694431,8373.577153549842,True,False,False,,False,10000000000000.0,3892.152623198774,True,True,False,False,True,False,False,True,0.5,1.0,liquid,False,False,1-3B,32k-131k,0.0,1.0,1.0,0.0,0.0,1.0,0.35,False,0.6875,4.69739983159193,0.31172829230350885,1.0,1.0,0.0,-0.5305060989077415
LiquidAI/LFM2-350M-Exp,LiquidAI,LFM2,350M-Exp,tier1,liquid,False,False,,,,,,,,,,,,,,,,,,,,,,,0,False,False,,,,0,,False,False,False,False,1,True,,,,,,,False,,,,,,,,,,,,,,,,,False,False,False,,False,,,False,False,False,False,False,False,False,False,0.0,0.0,liquid,False,False,,,,1.0,0.0,0.0,0.0,0.0,0.2,False,,,-0.3580401809311764,0.0,0.0,0.0,
Qwen/Qwen1.5-MoE-A2.7B,Qwen,Qwen1.5,MoE-A2.7B,tier1,moe,False,False,2024-02-29,other,61805.0,219.0,14315784192.0,24.0,2048.0,5632.0,16.0,16.0,128.0,rmsnorm,silu,rope,32768.0,32768.0,151936.0,hf_api.safetensors.total,,,,,0,False,False,,,Qwen2Tokenizer,0,,True,True,True,True,0,False,,,,,2024-02-01,2024.0,False,14.315784192,32.0,10.155815142852223,4.515449934959718,4.791030637554933,1.0,0.0,0.0,1.0,2.75,596.491008,894.736512,0.01171875,2.2889420209555503e-06,2288.94202095555,4317.262622227716,False,False,True,1.0,False,,,False,False,False,False,True,True,True,True,1.0,0.9230769230769231,transformer,False,True,10B+,8k-32k,21.846254927726676,0.0,1.0,0.0,0.0,0.0,0.0,False,0.6875,3.359634792107495,-0.7096451158123916,0.0,0.0,0.0,0.6895605166072167
Qwen/Qwen2.5-0.5B,Qwen,Qwen2.5,0.5B,tier1,unassigned,False,False,2024-09-15,apache-2.0,1085332.0,372.0,494032768.0,24.0,896.0,4864.0,14.0,2.0,64.0,rmsnorm,silu,rope,131072.0,32768.0,151936.0,hf_api.safetensors.total,,,,,0,False,False,128000.0,model_card_text,Qwen2Tokenizer,0,,True,True,True,False,0,False,,,,,2024-09-01,2024.0,False,0.494032768,128.0,8.693755755582796,5.11750992628768,6.0355630081146545,7.0,0.8571428571428572,1.0,0.0,5.428571428571429,20.584698666666668,35.28805485714286,0.026785714285714284,0.00026531033666171716,265310.33666171716,2196882.616498831,True,False,True,0.25,True,,,False,False,False,False,True,True,True,True,1.0,1.0,transformer,False,False,sub-1B,32k-131k,15.308804204993429,0.0,1.0,0.0,0.0,0.0,0.0,False,0.6428571428571428,5.423754170704884,0.934017722252908,1.0,0.0,0.0,2.0055270047004017
Qwen/Qwen2.5-1.5B,Qwen,Qwen2.5,1.5B,tier1,unassigned,False,False,2024-09-15,apache-2.0,444508.0,165.0,1543714304.0,28.0,1536.0,8960.0,12.0,2.0,128.0,rmsnorm,silu,rope,131072.0,131072.0,151936.0,hf_api.safetensors.total,,,,,0,False,False,128000.0,model_card_text,Qwen2Tokenizer,0,,True,True,True,False,0,False,,,,,2024-09-01,2024.0,False,1.543714304,128.0,9.188566928333255,5.11750992628768,5.6478805585813,6.0,0.8333333333333334,1.0,0.0,5.833333333333333,55.132653714285716,128.64285866666668,0.018229166666666668,8.49069025663443e-05,84906.90256634429,287947.0630337568,True,False,True,1.0,True,,,False,False,False,False,True,True,True,True,1.0,1.0,transformer,False,False,1-3B,32k-131k,15.308804204993429,0.0,1.0,0.0,0.0,0.0,0.0,False,0.5416666666666667,4.928942997954424,0.6120113976378245,1.0,0.0,0.0,1.4982598588913323
Qwen/Qwen3-0.6B,Qwen,Qwen3,0.6B,tier1,transformer,True,True,2025-04-27,apache-2.0,10187332.0,1081.0,751632384.0,28.0,1024.0,3072.0,16.0,8.0,128.0,rmsnorm,silu,rope,131072.0,,151936.0,hf_api.safetensors.total,,,,,0,False,False,38912.0,model_card_text,Qwen2Tokenizer,0,,True,True,True,False,0,False,,,,,2025-04-01,2025.0,False,0.751632384,128.0,8.87600548336239,5.11750992628768,7.008060502457438,2.0,0.5,1.0,0.0,3.0,26.844013714285712,46.977024,0.02734375,0.0001743831197140117,174383.1197140117,13553609.73909288,True,False,False,,True,,,False,False,False,False,True,True,True,True,1.0,1.0,transformer,False,False,sub-1B,32k-131k,7.9500657030223385,0.0,1.0,0.0,0.0,0.0,0.0,False,0.75,5.241504442925291,0.5920079254903114,1.0,0.0,0.0,2.616650041306066
Qwen/Qwen3-1.7B,Qwen,Qwen3,1.7B,tier1,transformer,False,False,2025-04-27,apache-2.0,4314635.0,422.0,2031739904.0,28.0,2048.0,6144.0,16.0,8.0,128.0,rmsnorm,silu,rope,131072.0,,151936.0,safetensors_index.metadata.total_size,,,,,0,False,False,38912.0,model_card_text,Qwen2Tokenizer,0,,True,True,True,True,0,False,,,,,2025-04-01,2025.0,False,2.031739904,128.0,9.307868110360154,5.11750992628768,6.634944162772088,2.0,0.5,1.0,0.0,3.0,72.56213942857143,126.983744,0.013671875,6.451219456877882e-05,64512.19456877882,2123615.8188878098,True,False,False,,True,,,False,False,False,False,True,True,True,True,1.0,1.0,transformer,False,False,1-3B,32k-131k,7.9500657030223385,0.0,1.0,0.0,0.0,0.0,0.0,False,0.75,4.8096418159275265,0.4421584290568158,1.0,0.0,0.0,2.1391622485767385
RWKV/RWKV7-Goose-World3-1.5B-HF,RWKV,RWKV7-Goose-World3,1.5B-HF,tier1,rwkv,True,False,2025-03-17,apache-2.0,212.0,4.0,1527404544.0,24.0,2048.0,8192.0,,,64.0,,sqrelu,,2048.0,,65536.0,hf_api.safetensors.total,,,,,0,False,False,3119000000000.0,model_card_text,RwkvTokenizer,0,,True,True,True,False,0,False,,,,,2025-03-01,2025.0,False,1.527404544,2.0,9.183954078286476,3.3113299523037933,2.3283796034387376,,,,,4.0,63.641856,,0.01171875,1.3408366552561468e-06,1340.8366552561467,138.79754439174957,False,False,False,,False,3119000000000.0,2042.0261365937117,False,False,False,False,True,False,False,False,0.25,0.8461538461538461,rwkv,False,False,1-3B,<=8k,9.296977660972404,1.0,0.0,0.0,0.0,0.0,0.2,False,1.0,3.1273758740173165,-0.003967123068519374,0.0,0.0,0.0,-2.0793725795138918
