release_month,model_count,transformer_share,recurrent_share,hidden_hybrid_share,median_convergence_score,median_hybridization_score,median_context_k,median_kv_compression,median_arch_quality,median_log_downloads,median_adoption_residual,delta_model_count,delta_transformer_share,delta_recurrent_share,delta_hidden_hybrid_share,delta_median_convergence_score,delta_median_hybridization_score,delta_median_context_k,delta_median_arch_quality,delta_median_adoption_residual
2023-11-01,1,0.0,1.0,1.0,0.5,0.7,,,-0.056216217044126444,2.574031267727719,-1.3199462391250263,,,,,,,,,
2023-12-01,3,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,17.0,0.8125,0.19917699191247457,5.753720908277305,1.642891091264663,2.0,0.6666666666666666,-0.6666666666666667,-1.0,0.5,-0.7,,0.255393208956601,2.9628373303896893
2024-01-01,1,0.0,1.0,0.0,0.0,0.2,4.0,,-0.3580401809311764,3.7712199019495336,,-2.0,-0.6666666666666666,0.6666666666666667,0.0,-1.0,0.2,-13.0,-0.557217172843651,
2024-02-01,1,1.0,0.0,0.0,1.0,0.0,32.0,0.0,-0.7096451158123916,4.791030637554933,0.6895605166072167,0.0,1.0,-1.0,0.0,1.0,-0.2,28.0,-0.35160493488121525,
2024-03-01,6,0.0,1.0,0.16666666666666666,0.25,0.35,256.0,0.75,-0.42209398790661823,3.479302150413806,-0.3659356838602017,5.0,-1.0,1.0,0.16666666666666666,-0.75,0.35,224.0,0.2875511279057734,-1.0554962004674184
2024-04-01,3,1.0,0.0,0.0,1.0,0.0,34.0,0.8452380952380953,-0.3580401809311764,3.7887338588277073,-0.7547529948026774,-3.0,1.0,-1.0,-0.16666666666666666,0.75,-0.35,-222.0,0.06405380697544183,-0.38881731094247574
2024-05-01,5,0.0,1.0,0.0,0.0,0.2,,,-0.3580401809311764,2.6857417386022635,,2.0,-1.0,1.0,0.0,-1.0,0.2,,0.0,
2024-06-01,3,1.0,0.0,0.0,0.75,0.0,8.0,0.5,-0.20175943491762266,5.160225354183176,0.9403581796833604,-2.0,1.0,-1.0,0.0,0.75,-0.2,,0.15628074601355374,
2024-07-01,10,0.3,0.7,0.0,0.25,0.2,6.0,0.25,-0.3580401809311764,3.829315353708388,-0.36190131929533953,7.0,-0.7,0.7,0.0,-0.5,0.2,-2.0,-0.15628074601355374,-1.3022594989787
2024-08-01,6,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.05,4.0,0.0,-0.3580401809311764,3.1182404148845917,-1.2611613799036872,-4.0,0.033333333333333326,-0.033333333333333326,0.16666666666666666,-0.25,-0.15000000000000002,-2.0,0.0,-0.8992600606083476
2024-09-01,14,0.8571428571428571,0.14285714285714285,0.07142857142857142,1.0,0.0,128.0,0.8571428571428572,0.3759876016862389,5.208648554468386,0.816202223624829,8.0,0.5238095238095237,-0.5238095238095237,-0.09523809523809523,1.0,-0.05,124.0,0.7340277826174153,2.077363603528516
2024-10-01,6,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.75,0.0,20.0,0.775,-0.022677122714024833,4.134378405047805,-0.3346047223413553,-8.0,-0.19047619047619047,0.19047619047619047,0.09523809523809523,-0.25,0.0,-108.0,-0.39866472440026374,-1.1508069459661843
2024-11-01,6,1.0,0.0,0.0,1.0,0.0,32.0,0.8,0.03626914592979835,4.077191861081897,-0.4802842571330026,0.0,0.33333333333333337,-0.3333333333333333,-0.16666666666666666,0.25,0.0,12.0,0.058946268643823185,-0.1456795347916473
2024-12-01,8,0.875,0.125,0.0,0.75,0.0,32.0,0.6666666666666667,-0.07727871162235828,3.9813940180687704,-0.38423362138179407,2.0,-0.125,0.125,0.0,-0.25,0.0,0.0,-0.11354785755215663,0.09605063575120854
2025-01-01,9,0.3333333333333333,0.0,0.0,1.0,0.0,128.0,0.8333333333333334,0.48907971547024603,5.693028351279414,1.0805941322205266,1.0,-0.5416666666666667,-0.125,0.0,0.25,0.0,96.0,0.5663584270926043,1.4648277536023206
2025-02-01,4,0.75,0.25,0.0,1.0,0.0,128.0,0.75,0.4503905361945496,4.676761070942872,0.17092326067553554,-5.0,0.4166666666666667,0.25,0.0,0.0,0.0,0.0,-0.03868917927569643,-0.909670871544991
2025-03-01,7,0.7142857142857143,0.14285714285714285,0.0,0.25,0.0,18.0,0.8,-0.274633073405474,4.972748835626153,0.2843384911636493,3.0,-0.0357142857142857,-0.10714285714285715,0.0,-0.75,0.0,-110.0,-0.7250236096000235,0.11341523048811375
2025-04-01,14,0.6428571428571429,0.14285714285714285,0.14285714285714285,1.0,0.0,128.0,0.75,0.4474195719761345,5.517080654410158,0.6753366692709695,7.0,-0.0714285714285714,0.0,0.14285714285714285,0.75,0.0,110.0,0.7220526453816085,0.3909981781073202
2025-05-01,6,0.0,1.0,0.5,1.0,0.9,192.0,0.8,0.625621583697774,3.1604634493091344,-1.4963104500517668,-8.0,-0.6428571428571429,0.8571428571428572,0.35714285714285715,0.0,0.9,64.0,0.17820201172163946,-2.1716471193227362
2025-07-01,1,1.0,0.0,0.0,1.0,0.0,128.0,0.75,0.5520454382430737,4.9165329040054475,0.27525269475350367,-5.0,1.0,-1.0,-0.5,0.0,-0.9,-64.0,-0.07357614545470026,1.7715631448052704
2025-08-01,1,1.0,0.0,0.0,1.0,0.0,128.0,0.875,-0.09191203968646772,6.742890100457927,1.85918630755023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6439574779295414,1.5839336127967263
2025-09-01,3,0.0,1.0,1.0,0.75,0.9,128.0,0.75,-0.513599087171958,4.77112428044526,-0.2152157887825661,2.0,-1.0,1.0,1.0,-0.25,0.9,0.0,-0.4216870474854903,-2.074402096332796
2025-10-01,4,0.0,1.0,0.75,0.875,0.8,80.0,0.7083333333333334,0.44934085750714914,3.927772618390992,-0.7573876931514505,1.0,0.0,0.0,-0.25,0.125,-0.09999999999999998,-48.0,0.9629399446791072,-0.5421719043688844
2025-11-01,2,0.5,0.0,0.0,1.0,0.0,48.0,0.775,0.09870114149008942,4.1876285123164365,-0.8478010598698833,-2.0,0.5,-1.0,-0.75,0.125,-0.8,-32.0,-0.35063971601705973,-0.09041336671843281
2025-12-01,1,0.0,1.0,0.0,0.5,0.35,125.0,0.75,0.31172829230350885,4.3327413504185746,-0.5305060989077415,-1.0,-0.5,1.0,0.0,-0.5,0.35,77.0,0.21302715081341944,0.3172949609621418
