model_id,inferred_paradigm,raw_config_present,raw_config_source,layer_dna_source,layer_total_estimate,attn_layer_count,ssm_layer_count,attn_layer_ratio,attn_period,attn_periodicity,layer_transition_rate,transition_complexity,kv_cache_mb_per_1k_tokens,state_memory_proxy,framework_support_index,compatibility_tax,hybridization_score,adoption_residual
HuggingFaceTB/SmolLM3-3B,transformer,False,missing,count_fallback:attention_only,36.0,36.0,0.0,1.0,,,,0.0,70.3125,,0.9040080233120313,0.09599197668796866,0.0,0.3578449266791681
LiquidAI/LFM2-1.2B-Exp,liquid,False,missing,none,,,,,,,,,,,0.40399999999999997,0.5960000000000001,0.2,
LiquidAI/LFM2-2.6B-Exp,liquid,False,missing,count_fallback:attention_only,30.0,30.0,0.0,1.0,,,,0.0,58.59375,,0.4192061358824322,0.5807938641175678,0.35,-0.32260997775460254
LiquidAI/LFM2-350M-Exp,liquid,False,missing,none,,,,,,,,,,,0.40399999999999997,0.5960000000000001,0.2,
Qwen/Qwen3-0.6B,transformer,False,missing,count_fallback:attention_only,28.0,28.0,0.0,1.0,,,,0.0,109.375,,0.8962263452174194,0.1037736547825806,0.0,2.7641263940965466
Qwen/Qwen3-1.7B,transformer,False,missing,count_fallback:attention_only,28.0,28.0,0.0,1.0,,,,0.0,109.375,,0.8962263452174194,0.1037736547825806,0.0,2.21366910571526
RWKV/RWKV7-Goose-World3-1.5B-HF,rwkv,False,missing,count_fallback:ssm_only,24.0,0.0,24.0,0.0,,,,0.0,,1.5,0.46354727255840966,0.5364527274415903,0.2,-1.9955812792806191
Zyphra/Zamba2-1.2B,hybrid,False,missing,count_fallback:hybrid_split,38.0,10.0,28.0,0.2631578947368421,,,,0.5184210526315789,156.25,14.4375,0.28314785411931426,0.7168521458806858,0.9,-1.1672708269479792
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,reasoning,False,missing,count_fallback:attention_only,28.0,28.0,0.0,1.0,,,,0.0,27.34375,,0.8704450308337547,0.12955496916624532,0.0,1.8106274887251406
google/gemma-3-1b-it,transformer,False,missing,count_fallback:attention_only,26.0,26.0,0.0,1.0,,,,0.0,25.390625,,0.9617169601447458,0.038283039855254164,0.0,1.9187326086924905
