field,coverage_rate
release_date,0.9689922480620154
license,0.9147286821705426
downloads,0.9689922480620154
likes,0.9689922480620154
num_params,0.8992248062015504
num_layers,0.8449612403100775
hidden_size,0.8372093023255814
ffn_size,0.7286821705426356
num_heads,0.7286821705426356
num_kv_heads,0.6666666666666666
head_dim,0.7364341085271318
max_context,0.689922480620155
sliding_window,0.21705426356589147
vocab_size,0.8527131782945736
pretrain_tokens,0.5736434108527132
tokenizer_type,0.8372093023255814
