release_month,inferred_paradigm,count
2023-11-01,hybrid,1
2023-12-01,hybrid,1
2023-12-01,transformer,2
2024-01-01,rwkv,1
2024-02-01,transformer,1
2024-03-01,hybrid,1
2024-03-01,ssm,5
2024-04-01,transformer,3
2024-05-01,ssm,5
2024-06-01,transformer,3
2024-07-01,hybrid,1
2024-07-01,rwkv,4
2024-07-01,ssm,2
2024-07-01,transformer,3
2024-08-01,hybrid,3
2024-08-01,ssm,1
2024-08-01,transformer,2
2024-09-01,hybrid,1
2024-09-01,ssm,1
2024-09-01,transformer,12
2024-10-01,hybrid,2
2024-10-01,transformer,4
2024-11-01,transformer,6
2024-12-01,transformer,7
2024-12-01,xlstm,1
2025-01-01,reasoning,6
2025-01-01,transformer,3
2025-02-01,rwkv,1
2025-02-01,transformer,3
2025-03-01,reasoning,1
2025-03-01,rwkv,1
2025-03-01,transformer,5
2025-04-01,hybrid,2
2025-04-01,reasoning,3
2025-04-01,transformer,9
2025-05-01,hybrid,6
2025-07-01,transformer,1
2025-08-01,transformer,1
2025-09-01,hybrid,3
2025-10-01,hybrid,4
2025-11-01,diffusion,1
2025-11-01,transformer,1
2025-12-01,liquid,1
