model,paradigm,layer_idx,strength,domain,accuracy,flip_rate,mean_edit_distance,mean_kl_divergence,mean_entropy,mean_margin,n_prompts
FalconH1-0.5B,hybrid,3,0.01,factual,0.9583333333333334,0.125,0.04994515916213096,0.0002979851685320038,0.7615578169934452,3.612095673878988,24
FalconH1-0.5B,hybrid,3,0.01,math,0.7916666666666666,0.125,0.04694444444444445,0.0002937412364190095,0.31812935695052147,3.9378255208333335,24
FalconH1-0.5B,hybrid,3,0.1,factual,0.9583333333333334,0.375,0.16473012486407054,0.0026835492953030857,0.7540881926155029,3.6069412231445312,24
FalconH1-0.5B,hybrid,3,0.1,math,0.8333333333333334,0.625,0.3822180338839931,0.005970605180967444,0.39164161309599876,3.8131510416666665,24
FalconH1-0.5B,hybrid,3,0.5,factual,0.9166666666666666,0.7083333333333334,0.4540845605035351,0.1194566803703007,0.9729229289417466,3.2149105072021484,24
FalconH1-0.5B,hybrid,3,0.5,math,0.4583333333333333,1.0,0.7898900337135633,0.25033055742581684,1.0739939647416274,3.2198893229166665,24
FalconH1-0.5B,hybrid,8,0.01,factual,0.9583333333333334,0.041666666666666664,0.03,0.000354060188802426,0.7624009402546411,3.6265131632486978,24
FalconH1-0.5B,hybrid,8,0.01,math,0.7916666666666666,0.16666666666666666,0.0913888888888889,0.0001657655802773661,0.30099696572870016,4.007161458333333,24
FalconH1-0.5B,hybrid,8,0.1,factual,0.9583333333333334,0.4583333333333333,0.27814007132147794,0.013788534258310392,0.7390627510321792,3.6871337890625,24
FalconH1-0.5B,hybrid,8,0.1,math,0.4166666666666667,0.8333333333333334,0.5244601433073919,0.012036260653985664,0.2482656752690673,4.062337239583333,24
FalconH1-0.5B,hybrid,8,0.5,factual,0.875,1.0,0.5946450097652926,0.4543028951084125,1.4863431821771276,2.65972900390625,24
FalconH1-0.5B,hybrid,8,0.5,math,0.125,1.0,0.83687034642917,0.2610092240696152,0.4676765163118641,4.2311553955078125,24
FalconH1-0.5B,hybrid,17,0.01,factual,0.9583333333333334,0.08333333333333333,0.049097222222222216,0.0002968109895817861,0.7667714776277231,3.62164306640625,24
FalconH1-0.5B,hybrid,17,0.01,math,0.7916666666666666,0.16666666666666666,0.07472222222222222,0.00014174920640167935,0.30933918866018456,4.00439453125,24
FalconH1-0.5B,hybrid,17,0.1,factual,0.9583333333333334,0.5833333333333334,0.3406395972018265,0.014738447560072624,0.8436058868634669,3.5817464192708335,24
FalconH1-0.5B,hybrid,17,0.1,math,0.75,0.6666666666666666,0.4219294213411861,0.008862352595315315,0.3263801233842969,3.8313802083333335,24
FalconH1-0.5B,hybrid,17,0.5,factual,0.75,0.9166666666666666,0.6059219330627387,0.5847463700411026,1.6118716597557068,2.608245849609375,24
FalconH1-0.5B,hybrid,17,0.5,math,0.125,1.0,0.8251777445121098,0.24554441341509423,0.7553109793613354,2.3063557942708335,24
FalconH1-0.5B,hybrid,26,0.01,factual,0.9583333333333334,0.041666666666666664,0.03,0.00020953210971204803,0.7723465353289308,3.596674601236979,24
FalconH1-0.5B,hybrid,26,0.01,math,0.7916666666666666,0.041666666666666664,0.03166666666666667,5.7731332465967476e-05,0.30736674182116985,4.005126953125,24
FalconH1-0.5B,hybrid,26,0.1,factual,0.9583333333333334,0.375,0.21310170234324266,0.007397318298975127,0.8260252104955725,3.5178019205729165,24
FalconH1-0.5B,hybrid,26,0.1,math,0.75,0.5416666666666666,0.3361539060068472,0.002270592924711915,0.336015772074461,3.896240234375,24
FalconH1-0.5B,hybrid,26,0.5,factual,0.8333333333333334,0.7916666666666666,0.4093331516794838,0.30245923018082976,1.5371747727816303,2.4983139038085938,24
FalconH1-0.5B,hybrid,26,0.5,math,0.5833333333333334,0.9583333333333334,0.7321557853910795,0.039582242568333946,0.4499709152927001,3.4901529947916665,24
FalconH1-0.5B,hybrid,31,0.01,factual,0.9583333333333334,0.041666666666666664,0.03,9.99261949867029e-05,0.770086007056913,3.6075897216796875,24
FalconH1-0.5B,hybrid,31,0.01,math,0.7916666666666666,0.041666666666666664,0.03166666666666667,4.6178195134416455e-05,0.3104919136191408,3.983154296875,24
FalconH1-0.5B,hybrid,31,0.1,factual,0.9583333333333334,0.4583333333333333,0.21727776254776754,0.005296114356193963,0.815097386832349,3.490386962890625,24
FalconH1-0.5B,hybrid,31,0.1,math,0.7083333333333334,0.375,0.22900494385788503,0.001359959411881088,0.3306524430712064,3.8771158854166665,24
FalconH1-0.5B,hybrid,31,0.5,factual,0.9583333333333334,0.9166666666666666,0.5306324174028522,0.23464497613410154,1.356505001584689,2.3380025227864585,24
FalconH1-0.5B,hybrid,31,0.5,math,0.6666666666666666,0.875,0.6609383454236396,0.03783529127637545,0.4889784250408411,3.4950408935546875,24
FalconH1-1.5B,hybrid,2,0.01,factual,0.9166666666666666,0.0,0.0,0.00017750540028297715,0.6119811976483712,3.576904296875,24
FalconH1-1.5B,hybrid,2,0.01,math,0.75,0.16666666666666666,0.109375,4.5683356091785754e-05,0.0488307437626645,6.5244140625,24
