model,paradigm,domain,critical_pressure_50,critical_pressure_80,sensitivity_slope_acc,sensitivity_slope_flip,pressure_auc,max_strength_accuracy,max_strength_acc_ci_lo,max_strength_acc_ci_hi
Qwen3-0.6B,transformer,math,0.1,0.01,-1.5918803418803416,6.517094017094018,0.7294784580498866,0.14166666666666666,0.10555555555555556,0.18055555555555555
Qwen3-0.6B,transformer,factual,0.2,0.01,-0.02136752136752214,8.205128205128204,0.6065192743764172,0.1361111111111111,0.1,0.17222222222222222
Gemma3-1B,transformer,math,0.01,0.01,0.1816239316239314,11.047008547008547,0.924404761904762,0.013888888888888888,0.002777777777777778,0.027777777777777776
Gemma3-1B,transformer,factual,0.2,0.1,-1.6132478632478633,12.457264957264957,0.6894274376417233,0.022222222222222223,0.008333333333333333,0.03888888888888889
Gemma2-2B,transformer,math,inf,inf,0.0,2.5534188034188032,0.05017006802721091,0.8472222222222222,0.8111111111111111,0.8833333333333333
Gemma2-2B,transformer,factual,inf,inf,0.0,3.098290598290598,0.017573696145124718,0.95,0.9277083333333335,0.9722222222222222
Mamba-790M,ssm,math,0.01,0.01,0.0,4.380341880341881,1.0,0.0,0.0,0.0
Mamba-790M,ssm,factual,0.01,0.01,-0.3205128205128208,2.222222222222222,0.6597222222222221,0.24722222222222223,0.20277777777777778,0.2916666666666667
FalconH1-0.5B,hybrid,math,0.5,0.01,-0.7961783439490445,1.4917115792911975,0.42159863945578235,0.39166666666666666,0.3,0.48333333333333334
FalconH1-0.5B,hybrid,factual,inf,inf,-0.19986117916054225,1.4531275518536666,0.07908163265306112,0.8666666666666667,0.8,0.925
FalconH1-1.5B,hybrid,math,inf,0.01,-0.3752245631226525,1.4049485546300833,0.3005952380952379,0.6,0.5083333333333333,0.6835416666666655
FalconH1-1.5B,hybrid,factual,inf,inf,-0.05450759431651157,1.6193042626163647,0.0768707482993195,0.9083333333333333,0.85,0.9583333333333334
Zamba2-1.2B,hybrid,math,inf,0.5,-0.3270455658990692,1.1121999020088194,0.13622448979591806,0.775,0.7,0.85
Zamba2-1.2B,hybrid,factual,inf,inf,-0.10901518863302315,1.281030540584681,0.020408163265306034,0.95,0.9083333333333333,0.9833333333333333
DSR1-1.5B,reasoning,math,0.01,0.01,0.14535358484403071,1.495590396864282,0.9727891156462585,0.06666666666666667,0.025,0.10833333333333334
DSR1-1.5B,reasoning,factual,0.5,0.01,-0.5197615547934019,1.3667728237791934,0.4520408163265306,0.4166666666666667,0.325,0.5
