domain,prompt_idx,layer_idx,strength,seed,baseline_correct,perturbed_correct,flip,edit_distance,baseline_entropy,perturbed_entropy,baseline_margin,perturbed_margin,kl_divergence,model,paradigm,n_layers,layer_frac
math,0,2,0.01,42,True,True,False,0.0,1.1258488893508911,0.990750789642334,3.625,3.875,0.0034231753088533,Qwen3-0.6B,transformer,28,0.074074074074074
math,1,2,0.01,42,False,False,False,0.0,1.8502895832061768,1.7939600944519043,2.5,2.5625,0.0021963375620543,Qwen3-0.6B,transformer,28,0.074074074074074
math,2,2,0.01,42,True,False,True,0.8846153846153846,2.4014651775360107,2.4994940757751465,2.1875,2.0625,0.0038771999534219,Qwen3-0.6B,transformer,28,0.074074074074074
math,3,2,0.01,42,True,True,False,0.0,1.8496735095977783,1.9752544164657595,3.0625,3.0,0.0019622482359409,Qwen3-0.6B,transformer,28,0.074074074074074
math,4,2,0.01,42,True,True,False,0.0,1.5937457084655762,1.698275089263916,2.875,2.8125,0.006830315105617,Qwen3-0.6B,transformer,28,0.074074074074074
math,5,2,0.01,42,True,True,False,0.0,1.582488179206848,1.661284565925598,2.875,2.8125,0.0017108813626691,Qwen3-0.6B,transformer,28,0.074074074074074
math,6,2,0.01,42,True,True,False,0.0,2.126381158828736,2.3695640563964844,2.875,2.6875,0.0068086506798863,Qwen3-0.6B,transformer,28,0.074074074074074
math,7,2,0.01,42,True,True,False,0.0,1.942654609680176,1.8193494081497192,2.625,2.8125,0.0031897143926471,Qwen3-0.6B,transformer,28,0.074074074074074
math,8,2,0.01,42,True,False,True,0.8461538461538461,2.201754570007324,2.3196024894714355,2.4375,2.375,0.0046583404764533,Qwen3-0.6B,transformer,28,0.074074074074074
math,9,2,0.01,42,True,True,False,0.0,1.2804235219955444,1.2183938026428225,3.5,3.625,0.0018029928905889,Qwen3-0.6B,transformer,28,0.074074074074074
math,10,2,0.01,42,False,False,False,0.0,2.8486664295196533,2.6226954460144043,2.375,2.75,0.0108175529167056,Qwen3-0.6B,transformer,28,0.074074074074074
math,11,2,0.01,42,True,True,False,0.0,1.67671799659729,1.6893610954284668,2.9375,2.9375,0.0015997070586308,Qwen3-0.6B,transformer,28,0.074074074074074
math,12,2,0.01,42,True,True,False,0.0,1.5298445224761963,1.5506806373596191,3.125,3.0625,0.0013622787082567,Qwen3-0.6B,transformer,28,0.074074074074074
math,13,2,0.01,42,False,False,False,0.0,2.364113569259644,2.3331217765808105,2.5625,2.6875,0.0022324414458125,Qwen3-0.6B,transformer,28,0.074074074074074
math,14,2,0.01,42,False,False,False,0.0,2.6435818672180176,2.644932270050049,2.0625,1.9375,0.0070728664286434,Qwen3-0.6B,transformer,28,0.074074074074074
math,15,2,0.01,42,True,True,False,0.0,1.7657617330551147,1.582111120223999,2.8125,2.9375,0.0037201482336968,Qwen3-0.6B,transformer,28,0.074074074074074
math,16,2,0.01,42,False,False,False,0.0,1.5630227327346802,1.4787992238998413,3.0625,3.125,0.002029936062172,Qwen3-0.6B,transformer,28,0.074074074074074
math,17,2,0.01,42,False,False,False,0.0,2.4000062942504883,2.695690631866455,2.8125,2.5,0.0111348899081349,Qwen3-0.6B,transformer,28,0.074074074074074
math,18,2,0.01,42,True,True,False,0.0,1.539995551109314,1.5591580867767334,3.25,3.1875,0.0013365449849516,Qwen3-0.6B,transformer,28,0.074074074074074
math,19,2,0.01,42,False,False,False,0.0,2.6934680938720703,2.796007871627808,1.75,1.625,0.004742378834635,Qwen3-0.6B,transformer,28,0.074074074074074
math,20,2,0.01,42,True,True,False,0.0,1.5465385913848877,1.4997823238372805,3.3125,3.375,0.0017093778587877,Qwen3-0.6B,transformer,28,0.074074074074074
math,21,2,0.01,42,False,False,False,0.0,1.8663634061813357,1.7098332643508911,2.5,2.75,0.0046094111166894,Qwen3-0.6B,transformer,28,0.074074074074074
math,22,2,0.01,42,False,False,False,0.0,1.6358188390731812,1.7552402019500732,3.25,3.25,0.0020479701925069,Qwen3-0.6B,transformer,28,0.074074074074074
math,23,2,0.01,42,True,True,False,0.0,1.583737015724182,1.5244197845458984,2.9375,3.0,0.0012024673633277,Qwen3-0.6B,transformer,28,0.074074074074074
factual,0,2,0.01,42,False,True,True,0.9069767441860463,4.178260803222656,4.215784072875977,0.0625,0.125,0.0047865654341876,Qwen3-0.6B,transformer,28,0.074074074074074
factual,1,2,0.01,42,True,True,False,0.0,0.7249804735183716,0.5709506273269653,2.5,2.625,0.0074909222312271,Qwen3-0.6B,transformer,28,0.074074074074074
factual,2,2,0.01,42,True,True,False,0.0,3.187028408050537,3.178494930267334,1.125,1.125,0.0021929424256086,Qwen3-0.6B,transformer,28,0.074074074074074
factual,3,2,0.01,42,False,False,False,0.0,3.6098031997680655,3.6273326873779297,0.5625,0.5,0.0045417658984661,Qwen3-0.6B,transformer,28,0.074074074074074
factual,4,2,0.01,42,False,False,False,0.0,0.4363479316234588,0.4472706019878387,2.375,2.375,0.0004980372614227,Qwen3-0.6B,transformer,28,0.074074074074074
factual,5,2,0.01,42,True,True,False,0.0,2.9214439392089844,2.896190643310547,1.25,1.25,0.0039705792441964,Qwen3-0.6B,transformer,28,0.074074074074074
factual,6,2,0.01,42,False,False,False,0.0,2.520190954208374,2.5301506519317627,0.625,0.625,0.0013359523145481,Qwen3-0.6B,transformer,28,0.074074074074074
factual,7,2,0.01,42,True,True,False,0.0,1.08525550365448,1.0322459936141968,3.25,3.25,0.0009459782158955,Qwen3-0.6B,transformer,28,0.074074074074074
factual,8,2,0.01,42,True,True,False,0.0,0.4281344413757324,0.4537516832351684,4.25,4.25,0.0002481508126948,Qwen3-0.6B,transformer,28,0.074074074074074
factual,9,2,0.01,42,True,True,True,0.627906976744186,0.5116786360740662,0.4379169642925262,3.75,3.875,0.002169796731323,Qwen3-0.6B,transformer,28,0.074074074074074
factual,10,2,0.01,42,True,True,False,0.0,0.4718857109546661,0.4929985404014587,3.25,3.25,0.0008551740902476,Qwen3-0.6B,transformer,28,0.074074074074074
factual,11,2,0.01,42,True,True,False,0.0,0.0200666580349206,0.0252753254026174,7.75,7.25,0.0001163994747912,Qwen3-0.6B,transformer,28,0.074074074074074
factual,12,2,0.01,42,False,False,True,0.1956521739130435,4.563624858856201,4.523742198944092,0.25,0.125,0.0077522378414869,Qwen3-0.6B,transformer,28,0.074074074074074
factual,13,2,0.01,42,False,False,False,0.0,5.635599136352539,5.670472621917725,0.5,0.5,0.0029188094194978,Qwen3-0.6B,transformer,28,0.074074074074074
factual,14,2,0.01,42,True,True,False,0.0,2.9557738304138184,2.948932647705078,0.75,0.75,0.0036970288492739,Qwen3-0.6B,transformer,28,0.074074074074074
factual,15,2,0.01,42,False,False,False,0.0,2.599925756454468,2.609023332595825,1.875,1.875,0.0013814260018989,Qwen3-0.6B,transformer,28,0.074074074074074
factual,16,2,0.01,42,True,False,True,0.1818181818181818,3.79303765296936,3.739678144454956,1.0625,1.1875,0.003690285841003,Qwen3-0.6B,transformer,28,0.074074074074074
factual,17,2,0.01,42,True,True,True,0.5714285714285714,0.8057312965393066,0.8926864862442017,2.125,2.0,0.0033210711553692,Qwen3-0.6B,transformer,28,0.074074074074074
factual,18,2,0.01,42,True,True,True,0.5476190476190477,2.802187442779541,2.740013360977173,1.875,2.1875,0.0063445135019719,Qwen3-0.6B,transformer,28,0.074074074074074
factual,19,2,0.01,42,True,True,False,0.0,0.828798234462738,0.7663085460662842,3.8125,3.875,0.0008735824958421,Qwen3-0.6B,transformer,28,0.074074074074074
factual,20,2,0.01,42,True,True,False,0.0,0.5778858661651611,0.6869896650314331,3.375,3.125,0.0028537986800074,Qwen3-0.6B,transformer,28,0.074074074074074
factual,21,2,0.01,42,False,False,False,0.0,4.222599983215332,4.282961368560791,0.0,0.0625,0.0037683506961911,Qwen3-0.6B,transformer,28,0.074074074074074
factual,22,2,0.01,42,True,True,True,0.5957446808510638,0.7830369472503662,0.7456009984016418,1.625,1.75,0.0013433819403871,Qwen3-0.6B,transformer,28,0.074074074074074
factual,23,2,0.01,42,True,False,True,0.3829787234042553,1.2011793851852417,1.288280963897705,3.25,3.25,0.0054934658110141,Qwen3-0.6B,transformer,28,0.074074074074074
math,0,2,0.01,137,True,True,False,0.0,1.1258488893508911,1.1869717836380005,3.625,3.3125,0.0025754794478416,Qwen3-0.6B,transformer,28,0.074074074074074
math,1,2,0.01,137,False,False,False,0.0,1.8502895832061768,1.8999598026275637,2.5,2.3125,0.0037484180647879,Qwen3-0.6B,transformer,28,0.074074074074074
math,2,2,0.01,137,True,False,True,0.8846153846153846,2.4014651775360107,2.465319871902466,2.1875,1.875,0.0111538534983992,Qwen3-0.6B,transformer,28,0.074074074074074
math,3,2,0.01,137,True,True,True,0.2083333333333333,1.8496735095977783,1.8141441345214844,3.0625,3.0625,0.0029589589685201,Qwen3-0.6B,transformer,28,0.074074074074074
math,4,2,0.01,137,True,True,False,0.0,1.5937457084655762,1.6899027824401855,2.875,2.625,0.0029319068416953,Qwen3-0.6B,transformer,28,0.074074074074074
math,5,2,0.01,137,True,False,True,0.8148148148148148,1.582488179206848,1.7345861196517944,2.875,2.625,0.0049621886573731,Qwen3-0.6B,transformer,28,0.074074074074074
math,6,2,0.01,137,True,True,False,0.0,2.126381158828736,1.958148956298828,2.875,2.9375,0.009737697429955,Qwen3-0.6B,transformer,28,0.074074074074074
