model_id,inferred_paradigm,arch_key,vllm,llamacpp,tgi,gptq,awq,bnb,support_score,measured_tax,frameworks_full,frameworks_partial,frameworks_none,hybridization_score,adoption_residual,log10_downloads,param_b,downloads
HuggingFaceTB/SmolLM3-3B,transformer,smollm3,1.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19999999999999996,4,0,2,0.0,0.3578449266791681,4.907368359192106,3.075098624,80791.0
LiquidAI/LFM2-1.2B-Exp,liquid,lfm2,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.2,,,,
LiquidAI/LFM2-2.6B-Exp,liquid,lfm2,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.35,-0.32260997775460254,4.367654046647408,2.56927232,23315.0
LiquidAI/LFM2-350M-Exp,liquid,lfm2,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.2,,,,
Qwen/Qwen3-0.6B,transformer,qwen3,1.0,1.0,0.0,1.0,1.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,2.7641263940965466,7.003586278347096,0.751632384,10082918.0
Qwen/Qwen3-1.7B,transformer,qwen3,1.0,1.0,0.0,1.0,1.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,2.21366910571526,6.620846279639921,2.031739904,4176824.0
RWKV/RWKV7-Goose-World3-1.5B-HF,rwkv,rwkv7,0.0,1.0,0.0,0.0,0.0,0.5,0.275,0.725,1,1,4,0.2,-1.9955812792806191,2.322219294733919,1.527404544,209.0
Zyphra/Zamba2-1.2B,hybrid,zamba2,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.9,-1.1672708269479792,2.8976270912904414,1.215064704,789.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,reasoning,deepseek_r1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.8106274887251406,6.09761993821984,1.77710731,1252044.0
google/gemma-3-1b-it,transformer,gemma3,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,1.9187326086924905,6.158033932641102,0.999905604,1438910.0
