term,coef,std_err,t_value,n,r2,standardized,stage,scale
intercept,0.733380193305433,0.2481214257107858,2.9557310143795177,46,0.30114282991307606,False,s1_hybrid_only,unstandardized
hybridization_score,-2.069661895217783,0.47531444694467556,-4.354300418431595,46,0.30114282991307606,False,s1_hybrid_only,unstandardized
intercept,8.593906362244329e-17,0.1260282408905865,6.819032227630052e-16,46,0.3011428299130844,True,s1_hybrid_only,standardized
hybridization_score,-0.5487648220440791,0.12602824089058648,-4.354300418431599,46,0.3011428299130844,True,s1_hybrid_only,standardized
intercept,1.4135418333272793,0.2676340080839331,5.281622628780331,41,0.5437079625389956,False,s2_plus_measured_tax,unstandardized
hybridization_score,-1.03505362132621,0.5010066585175903,-2.065947834683058,41,0.5437079625389956,False,s2_plus_measured_tax,unstandardized
measured_tax,-3.158955935073797,0.7845653690991806,-4.026376971877863,41,0.5437079625389956,False,s2_plus_measured_tax,unstandardized
intercept,-1.7338770629105723e-17,0.10957958384818937,-1.5822993682040907e-16,41,0.5437079625390013,True,s2_plus_measured_tax,standardized
hybridization_score,-0.27761978629841366,0.13437889458666044,-2.065947834683055,41,0.5437079625390013,True,s2_plus_measured_tax,standardized
measured_tax,-0.5410600866701321,0.13437889458666036,-4.026376971877863,41,0.5437079625390013,True,s2_plus_measured_tax,standardized
intercept,1.1903120059052834,0.38508169228751543,3.0910636099951354,41,0.5964192104038489,False,s3_plus_efficiency,unstandardized
hybridization_score,-1.142811797978664,0.5073507982607556,-2.252508130264752,41,0.5964192104038489,False,s3_plus_efficiency,unstandardized
measured_tax,-2.8410852337149732,0.8489092809558583,-3.346747759096186,41,0.5964192104038489,False,s3_plus_efficiency,unstandardized
is_long_context_128k_f,0.5536741687547801,0.3404368416604902,1.6263638390434447,41,0.5964192104038489,False,s3_plus_efficiency,unstandardized
has_quant_f,-0.513730775558155,0.33472260309259116,-1.5347955913692704,41,0.5964192104038489,False,s3_plus_efficiency,unstandardized
intercept,-1.733877062910572e-17,0.10588001458623864,-1.637586724639464e-16,41,0.5964192104038538,True,s3_plus_efficiency,standardized
hybridization_score,-0.3065224454049341,0.13608050567564733,-2.2525081302647503,41,0.5964192104038538,True,s3_plus_efficiency,standardized
measured_tax,-0.48661578521042126,0.1453995999213981,-3.3467477590961874,41,0.5964192104038538,True,s3_plus_efficiency,standardized
is_long_context_128k_f,0.19038452960800112,0.11706146253225692,1.6263638390434394,41,0.5964192104038538,True,s3_plus_efficiency,standardized
has_quant_f,-0.16685283363877737,0.10871339126659807,-1.5347955913692715,41,0.5964192104038538,True,s3_plus_efficiency,standardized
intercept,1.031904357238117,0.469950259486537,2.195773566261173,41,0.6190488180421502,False,s4_plus_quality,unstandardized
hybridization_score,-1.2855969234370603,0.5313981119297969,-2.4192726593783997,41,0.6190488180421502,False,s4_plus_quality,unstandardized
measured_tax,-3.013135714877778,0.8621784169418659,-3.4947937174828914,41,0.6190488180421502,False,s4_plus_quality,unstandardized
is_long_context_128k_f,0.7356568000097164,0.453886131537361,1.6207959417441726,41,0.6190488180421502,False,s4_plus_quality,unstandardized
has_quant_f,-0.39843421611800806,0.35352177971185966,-1.1270429121587773,41,0.6190488180421502,False,s4_plus_quality,unstandardized
architecture_quality_index,-0.6045258496195152,0.4297842627647821,-1.406579770349497,41,0.6190488180421502,False,s4_plus_quality,unstandardized
convergence_score,0.21762940533606856,0.6606462747012825,0.32941895484761763,41,0.6190488180421502,False,s4_plus_quality,unstandardized
intercept,-1.7338770629105723e-17,0.10585105822887265,-1.6380346988705194e-16,41,0.6190488180421547,True,s4_plus_quality,standardized
hybridization_score,-0.34481995502145213,0.1425304228048646,-2.419272659378397,41,0.6190488180421547,True,s4_plus_quality,standardized
measured_tax,-0.5160842710528528,0.1476723128095123,-3.494793717482898,41,0.6190488180421547,True,s4_plus_quality,standardized
is_long_context_128k_f,0.2529604625366014,0.15607175216911404,1.620795941744167,41,0.6190488180421547,True,s4_plus_quality,standardized
has_quant_f,-0.12940606469547458,0.11481911052313466,-1.1270429121587806,41,0.6190488180421547,True,s4_plus_quality,standardized
architecture_quality_index,-0.21179192062895902,0.15057227829768458,-1.4065797703495055,41,0.6190488180421547,True,s4_plus_quality,standardized
convergence_score,0.05577233089552977,0.16930516618671648,0.3294189548476142,41,0.6190488180421547,True,s4_plus_quality,standardized
