model_id,inferred_paradigm,arch_key,vllm,llamacpp,tgi,gptq,awq,bnb,support_score,measured_tax,frameworks_full,frameworks_partial,frameworks_none,hybridization_score,adoption_residual,log10_downloads,param_b,downloads
HuggingFaceTB/SmolLM3-3B,transformer,smollm3,1.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19999999999999996,4,0,2,0.0,0.27525269475350367,4.9165329040054475,3.075098624,82514.0
LiquidAI/LFM2-1.2B-Exp,liquid,lfm2,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.2,,,,
LiquidAI/LFM2-2.6B-Exp,liquid,lfm2,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.35,-0.5305060989077415,4.3327413504185746,2.56927232,21514.0
LiquidAI/LFM2-350M-Exp,liquid,lfm2,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.2,,,,
Qwen/Qwen1.5-MoE-A2.7B,transformer,qwen_moe,1.0,1.0,0.0,0.5,0.0,0.5,0.625,0.375,2,2,2,0.0,0.6895605166072167,4.791030637554933,14.315784192,61805.0
Qwen/Qwen2.5-0.5B,transformer,qwen2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,2.0055270047004017,6.0355630081146545,0.494032768,1085332.0
Qwen/Qwen2.5-1.5B,transformer,qwen2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.4982598588913323,5.6478805585813,1.543714304,444508.0
Qwen/Qwen3-0.6B,transformer,qwen3,1.0,1.0,0.0,1.0,1.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,2.616650041306066,7.008060502457438,0.751632384,10187332.0
Qwen/Qwen3-1.7B,transformer,qwen3,1.0,1.0,0.0,1.0,1.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,2.1391622485767385,6.634944162772088,2.031739904,4314635.0
RWKV/RWKV7-Goose-World3-1.5B-HF,rwkv,rwkv7,0.0,1.0,0.0,0.0,0.0,0.5,0.275,0.725,1,1,4,0.2,-2.0793725795138918,2.3283796034387376,1.527404544,212.0
RWKV/v6-Finch-1B6-HF,rwkv,rwkv6,0.0,1.0,0.0,0.0,0.0,0.5,0.275,0.725,1,1,4,0.2,,1.7403626894942439,,54.0
Zyphra/Zamba2-1.2B,hybrid,zamba2,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.9,-1.1767386521411511,2.905256048748451,1.215064704,803.0
Zyphra/Zamba2-1.2B-instruct,hybrid,zamba2,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.9,0.646685727634047,4.7768464086953,1.215064704,59819.0
cartesia-ai/Rene-v0.1-1.3b-pytorch,ssm,rene,0.0,0.0,0.0,0.0,0.0,0.5,0.075,0.925,0,1,5,0.0,-3.266983503045239,0.8450980400142568,1.433295104,6.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,reasoning,deepseek_r1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.7974183687657197,6.141730954666949,1.77710731,1385896.0
google/gemma-2-2b-it,transformer,gemma2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.4102676634021512,5.528767626885193,2.614341888,337883.0
google/gemma-3-1b-it,transformer,gemma3,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,1.8204538887216453,6.173822087893059,0.999905604,1492182.0
ibm-granite/granite-4.0-1b,hybrid,granite,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.7,-0.6887030244804446,4.014982308585482,1.631769232,10350.0
ibm-granite/granite-4.0-350m,hybrid,granite,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.7,-0.5533229463737777,3.989494312772709,0.352393112,9760.0
ibm-granite/granite-4.0-h-1b,hybrid,granite_hybrid,0.5,1.0,0.0,0.0,0.0,0.5,0.4,0.6,1,2,3,0.9,-0.8260723618224564,3.866050924009275,1.461564272,7345.0
ibm-granite/granite-4.0-h-350m,hybrid,granite_hybrid,0.5,1.0,0.0,0.0,0.0,0.5,0.4,0.6,1,2,3,0.9,-0.9199705638193238,3.6191977157929474,0.340352432,4160.0
nvidia/Hymba-1.5B-Base,hybrid,hymba,0.5,0.5,0.0,0.0,0.0,0.5,0.3,0.7,0,3,3,0.7,-1.6081570857098297,2.574031267727719,1.522797824,374.0
state-spaces/mamba-1.4b-hf,ssm,mamba,1.0,1.0,1.0,0.0,0.0,0.5,0.625,0.375,3,1,2,0.35,-0.5338445006452686,3.328583449714202,1.372178432,2130.0
state-spaces/mamba-130m-hf,ssm,mamba,1.0,1.0,1.0,0.0,0.0,0.5,0.625,0.375,3,1,2,0.35,1.5214195765950667,5.1372148109190015,0.12913536,137155.0
state-spaces/mamba-2.8b-hf,ssm,mamba,1.0,1.0,1.0,0.0,0.0,0.5,0.625,0.375,3,1,2,0.35,-0.19802686707513484,3.738066714777469,2.7683456,5470.0
state-spaces/mamba-370m-hf,ssm,mamba,1.0,1.0,1.0,0.0,0.0,0.5,0.625,0.375,3,1,2,0.35,-0.09668809375948495,3.63002085111341,0.371516416,4265.0
state-spaces/mamba-790m-hf,ssm,mamba,1.0,1.0,1.0,0.0,0.0,0.5,0.625,0.375,3,1,2,0.35,-0.7150040271976139,3.091315159697223,0.793204224,1233.0
state-spaces/mamba2-1.3b,ssm,mamba2,0.5,0.5,0.0,0.0,0.0,0.5,0.3,0.7,0,3,3,0.2,,2.4756711883244296,,298.0
state-spaces/mamba2-130m,ssm,mamba2,0.5,0.5,0.0,0.0,0.0,0.5,0.3,0.7,0,3,3,0.2,,3.871981353843369,,7446.0
state-spaces/mamba2-2.7b,ssm,mamba2,0.5,0.5,0.0,0.0,0.0,0.5,0.3,0.7,0,3,3,0.2,,3.1622656142980214,,1452.0
state-spaces/mamba2-370m,ssm,mamba2,0.5,0.5,0.0,0.0,0.0,0.5,0.3,0.7,0,3,3,0.2,,2.6857417386022635,,484.0
state-spaces/mamba2-780m,ssm,mamba2,0.5,0.5,0.0,0.0,0.0,0.5,0.3,0.7,0,3,3,0.2,,2.66838591669,,465.0
tiiuae/Falcon-H1-0.5B-Instruct,hybrid,falcon_h1,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-1.3591270896276666,2.9995654882259823,0.521411104,998.0
tiiuae/Falcon-H1-1.5B-Instruct,hybrid,falcon_h1,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-1.6859109450659036,2.787460474518415,1.554863488,612.0
tiiuae/Falcon3-1B-Instruct,transformer,falcon3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.38040306370445176,3.904931827395653,1.669408768,8033.0
AIDC-AI/Marco-o1,transformer,marco_o1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.8815472270728182,3.519171463821659,7.615616512,3304.0
CohereForAI/aya-expanse-8b,transformer,cohere,1.0,1.0,1.0,1.0,0.5,1.0,0.9500000000000001,0.04999999999999993,5,1,0,0.0,0.48292801760960824,4.859432532725502,8.028033024,72348.0
CohereForAI/c4ai-command-r7b-12-2024,transformer,cohere,1.0,1.0,1.0,1.0,0.5,1.0,0.9500000000000001,0.04999999999999993,5,1,0,0.0,-0.38806417905913637,4.057856208741888,8.028047968,11424.0
ML-GSAI/LLaDA-8B-Base,diffusion,llada,0.0,1.0,0.0,0.0,0.0,0.5,0.275,0.725,1,1,4,0.0,,,,
NX-AI/xLSTM-7b,xlstm,xlstm,0.0,0.0,0.0,0.0,0.0,0.5,0.075,0.925,0,1,5,0.35,-1.5875154046838844,2.8419848045901137,6.865424896,694.0
Qwen/Qwen2.5-3B,transformer,qwen2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.1715249059308404,5.39384710054173,3.085938688,247654.0
Qwen/Qwen2.5-7B,transformer,qwen2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.807448528109103,6.124585076941011,7.615616512,1332247.0
Qwen/Qwen2.5-Coder-7B,transformer,qwen2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.0858545671157005,5.4044077624232445,7.615616512,253750.0
Qwen/Qwen3-4B,transformer,qwen3,1.0,1.0,0.0,1.0,1.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,2.1418796462163794,6.709349008948857,4.022468096,5120931.0
Qwen/Qwen3-8B,transformer,qwen3,1.0,1.0,0.0,1.0,1.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,2.0340525610492337,6.676159235934929,8.19073536,4744158.0
RWKV-Red-Team/ARWKV-R1-7B,rwkv,arwkv7,0.0,1.0,0.0,0.0,0.0,0.5,0.275,0.725,1,1,4,0.2,-3.300694709728729,1.2304489213782739,8.26536704,16.0
RWKV/v5-Eagle-7B-HF,rwkv,rwkv5,0.0,1.0,0.0,0.0,0.0,0.5,0.275,0.725,1,1,4,0.2,,3.7712199019495336,,5904.0
RWKV/v6-Finch-3B-HF,rwkv,rwkv6,0.0,1.0,0.0,0.0,0.0,0.5,0.275,0.725,1,1,4,0.2,,0.9030899869919435,,7.0
RWKV/v6-Finch-7B-HF,rwkv,rwkv6,0.0,1.0,0.0,0.0,0.0,0.5,0.275,0.725,1,1,4,0.2,-0.5202445505136342,3.7178368674869255,7.635746816,5221.0
Spiral-AI/Spiral-RetNet-3b-base,transformer,retnet,0.0,0.0,0.0,0.0,0.0,0.5,0.075,0.925,0,1,5,0.0,-3.5415847165956764,0.47712125471966244,2.856228106,2.0
Zyphra/Zamba2-2.7B,hybrid,zamba2,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.9,-1.362299991985918,2.7481880270062002,2.66221456,559.0
Zyphra/Zamba2-2.7B-instruct,hybrid,zamba2,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.9,-1.8838839128398877,2.298853076409707,2.66221456,198.0
Zyphra/Zamba2-7B,ssm,zamba2,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.2,-2.7864384870829646,1.5440680443502757,7.356749648,34.0
Zyphra/Zamba2-7B-Instruct,hybrid,zamba2,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.9,-0.3104617394379545,4.038461196178564,7.356749648,10925.0
allenai/OLMoE-1B-7B-0924,transformer,olmoe,1.0,1.0,0.0,0.5,0.0,0.5,0.625,0.375,2,2,2,0.0,0.10490332767218025,4.331224781020732,6.919161856,21439.0
allenai/Olmo-3-7B,transformer,olmo2,1.0,1.0,0.0,1.0,0.0,1.0,0.8,0.19999999999999996,4,0,2,0.0,,,,
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,reasoning,deepseek_r1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.1904131718863917,5.693028351279414,8.030261248,493205.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,deepseek_r1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.3585835741935055,5.855634225431283,7.615616512,717189.0
google/gemma-3-4b-it,transformer,gemma3,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,1.5904584202711387,6.071433863978507,4.300079472,1178782.0
ibm-granite/granite-3.1-8b-instruct,transformer,granite,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,0.5462451612184411,4.986932885820884,8.170848256,97035.0
ibm-granite/granite-3.2-8b-instruct,transformer,granite,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,-0.51883802516942,4.025264892154508,8.170848256,10598.0
ibm-granite/granite-4.0-h-tiny,hybrid,granite_hybrid,0.5,1.0,0.0,0.0,0.0,0.5,0.4,0.6,1,2,3,0.9,-0.4627034468051745,4.3631605302861045,6.939037248,23075.0
ibm-granite/granite-4.0-micro,hybrid,granite,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.7,0.020049353338603026,4.77112428044526,3.40283648,59036.0
ibm-granite/granite-4.0-tiny-preview,hybrid,granite,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.7,-0.20755157084469733,4.417272353627316,6.671539776,26137.0
internlm/internlm2_5-7b-chat,transformer,internlm,1.0,1.0,0.5,1.0,1.0,1.0,0.9500000000000001,0.04999999999999993,5,1,0,0.0,0.21204734438275175,4.417521513804297,7.737708544,26152.0
internlm/internlm3-8b-instruct,transformer,internlm,1.0,1.0,0.5,1.0,1.0,1.0,0.9500000000000001,0.04999999999999993,5,1,0,0.0,-0.5570357917504682,3.945320840792275,8.804241408,8816.0
meta-llama/Llama-3.1-8B-Instruct,transformer,llama,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,2.527133327402133,6.7662522623267165,8.030261248,5837840.0
meta-llama/Llama-3.2-3B-Instruct,transformer,llama,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,2.1136838774414777,6.344482856887579,3.212749824,2210460.0
microsoft/Phi-4-mini-instruct,transformer,phi3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,0.8606845465204911,5.328257249731236,3.83602176,212939.0
microsoft/Phi-4-mini-reasoning,reasoning,phi3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.5794010899061153,3.9859202201235675,3.83602176,9680.0
mistralai/Ministral-8B-Instruct-2410,transformer,mistral,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,0.680462627533795,5.0455263844166165,8.019808256,111051.0
nvidia/Nemotron-H-4B-Instruct-128K,hybrid,nemotron_h,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-0.10736097089645469,4.454631469952393,4.48922304,28485.0
tiiuae/Falcon-H1-3B-Instruct,hybrid,falcon_h1,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-1.1279938210855436,3.4194600727860704,3.149392384,2626.0
tiiuae/Falcon-H1-7B-Instruct,hybrid,falcon_h1,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-1.0903470443510983,3.549371152333177,7.58565488,3542.0
tiiuae/Falcon3-3B-Instruct,transformer,falcon3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.5853773572867031,3.7691556907143986,3.227655168,5876.0
tiiuae/Falcon3-7B-Instruct,transformer,falcon3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.2916267010500251,4.129528773858777,7.455550464,13474.0
tiiuae/falcon-mamba-7b,ssm,falcon_mamba,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.35,-0.36190131929533953,3.8654001181793016,7.272665088,7334.0
