term,coef,std_err,t_value,n,r2,standardized,stage,scale
intercept,0.35415859730879184,0.1310268292011133,2.702947170958348,116,0.1874628330332061,False,s1_hybrid_only,unstandardized
hybridization_score,-1.6976197226371952,0.33101830936097787,-5.128476808169329,116,0.1874628330332061,False,s1_hybrid_only,unstandardized
intercept,-7.73112150036442e-18,0.08442463508053016,-9.157423651271849e-17,116,0.187462833033209,True,s1_hybrid_only,standardized
hybridization_score,-0.43296978304865785,0.08442463508053011,-5.128476808169334,116,0.187462833033209,True,s1_hybrid_only,standardized
intercept,0.7326550012451751,0.1290428256886247,5.677611268471778,116,0.3936743580817109,False,s2_plus_measured_tax,unstandardized
hybridization_score,-0.6996949946557671,0.3292430679888775,-2.1251624185430207,116,0.3936743580817109,False,s2_plus_measured_tax,unstandardized
measured_tax,-2.60001380224531,0.41940435161298717,-6.199300966348863,116,0.3936743580817109,False,s2_plus_measured_tax,unstandardized
intercept,-7.731121500364418e-18,0.07325103170123012,-1.0554283428931674e-16,116,0.393674358081713,True,s2_plus_measured_tax,standardized
hybridization_score,-0.1784538586567085,0.0839718682673929,-2.125162418543019,116,0.393674358081713,True,s2_plus_measured_tax,standardized
measured_tax,-0.5205668840961688,0.08397186826739303,-6.1993009663488605,116,0.393674358081713,True,s2_plus_measured_tax,standardized
intercept,0.5261652011716033,0.1788143735891364,2.9425218488340223,116,0.40957532350961745,False,s3_plus_efficiency,unstandardized
hybridization_score,-0.8152514524177472,0.33551932626779457,-2.4298196514827723,116,0.40957532350961745,False,s3_plus_efficiency,unstandardized
measured_tax,-2.350564715197882,0.4442215040371237,-5.291424872131911,116,0.40957532350961745,False,s3_plus_efficiency,unstandardized
is_long_context_128k_f,0.34426768083545733,0.2069719819517777,1.6633540327002718,116,0.40957532350961745,False,s3_plus_efficiency,unstandardized
has_quant_f,0.08125862678743301,0.20665742208556492,0.3932044925721976,116,0.40957532350961745,False,s3_plus_efficiency,unstandardized
intercept,-7.73112150036442e-18,0.07293244291564016,-1.0600387415113586e-16,116,0.4095753235096198,True,s3_plus_efficiency,standardized
hybridization_score,-0.20792597999219442,0.08557259789437827,-2.4298196514827817,116,0.4095753235096198,True,s3_plus_efficiency,standardized
measured_tax,-0.47062294384755393,0.08894068331691923,-5.291424872131909,116,0.4095753235096198,True,s3_plus_efficiency,standardized
is_long_context_128k_f,0.1292614222765178,0.07771131084263314,1.6633540327002667,116,0.4095753235096198,True,s3_plus_efficiency,standardized
has_quant_f,0.028714389875505314,0.07302660681129762,0.39320449257219275,116,0.4095753235096198,True,s3_plus_efficiency,standardized
intercept,0.4923758353745009,0.2749643483853325,1.7906897321993538,116,0.42546651446037087,False,s4_plus_quality,unstandardized
hybridization_score,-0.7330732703444895,0.33894547679035886,-2.1628058804215953,116,0.42546651446037087,False,s4_plus_quality,unstandardized
measured_tax,-2.5701252341312686,0.472219759835396,-5.442646523362661,116,0.42546651446037087,False,s4_plus_quality,unstandardized
is_long_context_128k_f,0.5126149821022599,0.24369791693333745,2.1034852843755885,116,0.42546651446037087,False,s4_plus_quality,unstandardized
has_quant_f,0.06197544832482188,0.20606920770664827,0.30075065078644647,116,0.42546651446037087,False,s4_plus_quality,unstandardized
architecture_quality_index,-0.3623465074411302,0.2161553676880689,-1.6763243555627445,116,0.42546651446037087,False,s4_plus_quality,unstandardized
convergence_score,0.01964319312113283,0.33006346738264564,0.0595133817047383,116,0.42546651446037087,False,s4_plus_quality,unstandardized
intercept,-7.73112150036442e-18,0.07260130445536414,-1.0648736353101719e-16,116,0.425466514460373,True,s4_plus_quality,standardized
hybridization_score,-0.18696682807546278,0.08644642118275425,-2.1628058804215944,116,0.425466514460373,True,s4_plus_quality,standardized
measured_tax,-0.5145826855662289,0.094546409243623,-5.4426465233626695,116,0.425466514460373,True,s4_plus_quality,standardized
is_long_context_128k_f,0.19247040996119255,0.09150071616418681,2.103485284375567,116,0.425466514460373,True,s4_plus_quality,standardized
has_quant_f,0.021900286237465844,0.0728187492868187,0.30075065078644697,116,0.425466514460373,True,s4_plus_quality,standardized
architecture_quality_index,-0.1546399193769568,0.09224940201089142,-1.676324355562752,116,0.425466514460373,True,s4_plus_quality,standardized
convergence_score,0.0056296597081525734,0.09459485491987399,0.05951338170475702,116,0.425466514460373,True,s4_plus_quality,standardized
