excluded_model,loo_mean_interaction,delta_from_full
Qwen3-0.6B,0.005952380952380971,-0.008630952380952385
Qwen3-1.7B,0.014880952380952396,0.0002976190476190396
Qwen2.5-0.5B,0.019345238095238113,0.004761904761904757
Qwen2.5-1.5B,0.010416666666666682,-0.004166666666666674
Gemma3-1B,0.010416666666666689,-0.0041666666666666675
Gemma2-2B,0.01562500000000002,0.0010416666666666647
Mamba-130M,0.01636904761904764,0.0017857142857142846
Mamba-370M,0.012648809523809547,-0.0019345238095238096
Mamba-790M,0.01636904761904764,0.0017857142857142846
Mamba-2.8B,0.015625000000000024,0.0010416666666666682
FalconH1-0.5B,0.014136904761904783,-0.0004464285714285733
FalconH1-1.5B,0.014136904761904783,-0.0004464285714285733
Zamba2-1.2B,0.015625000000000024,0.0010416666666666682
DSR1-1.5B,0.02455357142857145,0.009970238095238093
Nemotron-1.5B-R,0.012648809523809547,-0.0019345238095238096
