model_name,paradigm,surgery,jitter,domain,accuracy,n_trials
DSR1-1.5B,reasoning,control,off,factual,0.6875,48
DSR1-1.5B,reasoning,control,off,math,0.0,48
DSR1-1.5B,reasoning,control,on,factual,0.7708333333333334,48
DSR1-1.5B,reasoning,control,on,math,0.08333333333333333,48
DSR1-1.5B,reasoning,expand,off,factual,0.6875,48
DSR1-1.5B,reasoning,expand,off,math,0.041666666666666664,48
DSR1-1.5B,reasoning,expand,on,factual,0.5833333333333334,48
DSR1-1.5B,reasoning,expand,on,math,0.0625,48
FalconH1-0.5B,hybrid,control,off,factual,1.0,48
FalconH1-0.5B,hybrid,control,off,math,0.75,48
FalconH1-0.5B,hybrid,control,on,factual,1.0,48
FalconH1-0.5B,hybrid,control,on,math,0.6458333333333334,48
FalconH1-0.5B,hybrid,expand,off,factual,1.0,48
FalconH1-0.5B,hybrid,expand,off,math,0.7083333333333334,48
FalconH1-0.5B,hybrid,expand,on,factual,1.0,48
FalconH1-0.5B,hybrid,expand,on,math,0.6458333333333334,48
FalconH1-1.5B,hybrid,control,off,factual,1.0,48
FalconH1-1.5B,hybrid,control,off,math,0.8125,48
FalconH1-1.5B,hybrid,control,on,factual,1.0,48
FalconH1-1.5B,hybrid,control,on,math,0.7916666666666666,48
FalconH1-1.5B,hybrid,expand,off,factual,1.0,48
FalconH1-1.5B,hybrid,expand,off,math,0.7708333333333334,48
FalconH1-1.5B,hybrid,expand,on,factual,1.0,48
FalconH1-1.5B,hybrid,expand,on,math,0.7916666666666666,48
Gemma2-2B,transformer,control,off,factual,1.0,48
Gemma2-2B,transformer,control,off,math,1.0,48
Gemma2-2B,transformer,control,on,factual,1.0,48
Gemma2-2B,transformer,control,on,math,1.0,48
Gemma2-2B,transformer,expand,off,factual,1.0,48
Gemma2-2B,transformer,expand,off,math,1.0,48
Gemma2-2B,transformer,expand,on,factual,1.0,48
Gemma2-2B,transformer,expand,on,math,1.0,48
Gemma3-1B,transformer,control,off,factual,1.0,48
Gemma3-1B,transformer,control,off,math,0.1875,48
Gemma3-1B,transformer,control,on,factual,0.5625,48
Gemma3-1B,transformer,control,on,math,0.10416666666666667,48
Gemma3-1B,transformer,expand,off,factual,0.3125,48
Gemma3-1B,transformer,expand,off,math,0.16666666666666666,48
Gemma3-1B,transformer,expand,on,factual,0.08333333333333333,48
Gemma3-1B,transformer,expand,on,math,0.020833333333333332,48
