model_name,paradigm,acc_control_off,acc_expand_off,acc_control_on,acc_expand_on,surgery_effect,jitter_effect,interaction
Qwen3-0.6B,transformer,0.65625,0.3854166666666667,0.4895833333333333,0.3541666666666667,-0.2708333333333333,-0.16666666666666669,0.13541666666666669
Qwen3-1.7B,transformer,0.84375,0.7291666666666666,0.8541666666666666,0.75,-0.11458333333333337,0.01041666666666663,0.01041666666666674
Qwen2.5-0.5B,transformer,0.875,0.4583333333333333,0.90625,0.4375,-0.4166666666666667,0.03125,-0.052083333333333315
Qwen2.5-1.5B,transformer,1.0,0.25,0.96875,0.2916666666666667,-0.75,-0.03125,0.07291666666666674
Gemma3-1B,transformer,0.59375,0.23958333333333334,0.3333333333333333,0.052083333333333336,-0.35416666666666663,-0.2604166666666667,0.07291666666666663
Gemma2-2B,transformer,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Mamba-130M,ssm,0.1875,0.1875,0.22916666666666666,0.21875,0.0,0.04166666666666666,-0.010416666666666657
Mamba-370M,ssm,0.3125,0.2916666666666667,0.2916666666666667,0.3125,-0.020833333333333315,-0.020833333333333315,0.04166666666666663
Mamba-790M,ssm,0.1875,0.19791666666666666,0.19791666666666666,0.19791666666666666,0.010416666666666657,0.010416666666666657,-0.010416666666666657
Mamba-2.8B,ssm,0.46875,0.4583333333333333,0.46875,0.4583333333333333,-0.010416666666666685,0.0,0.0
FalconH1-0.5B,hybrid,0.875,0.8541666666666666,0.8229166666666666,0.8229166666666666,-0.02083333333333337,-0.05208333333333337,0.02083333333333337
FalconH1-1.5B,hybrid,0.90625,0.8854166666666666,0.8958333333333334,0.8958333333333334,-0.02083333333333337,-0.01041666666666663,0.02083333333333337
Zamba2-1.2B,hybrid,0.96875,0.96875,0.96875,0.96875,0.0,0.0,0.0
DSR1-1.5B,reasoning,0.34375,0.3645833333333333,0.4270833333333333,0.3229166666666667,0.020833333333333315,0.08333333333333331,-0.12499999999999994
Nemotron-1.5B-R,reasoning,0.46875,0.03125,0.5,0.10416666666666667,-0.4375,0.03125,0.041666666666666685
