excluded,loo_mean,delta
FalconH1-0.5B,0.005523989898989889,0.0005085578002244646
Gemma2-2B,0.005997474747474741,0.000982042648709317
Gemma3-1B,-0.00021043771043771642,-0.00522586980920314
Mamba-130M,0.006839225589225579,0.001823793490460155
Mamba-2.8B,0.004840067340067329,-0.0001753647586980947
Mamba-370M,0.005260942760942751,0.00024551066217732686
Mamba-790M,0.00531355218855218,0.00029812008978675596
Qwen2.5-0.5B,0.005523989898989896,0.0005085578002244724
Qwen2.5-1.5B,0.00647095959595958,0.0014555274971941564
Qwen3-0.6B,0.0006839225589225519,-0.0043315095398428725
Qwen3-1.7B,0.008470117845117841,0.0034546857463524172
Zamba2-1.2B,0.005471380471380462,0.0004559483726150381
