group,layer_target,mean_interaction,std_interaction,n_models,mean_surgery_effect,mean_jitter_effect
base_transformer,0.2,-0.010416666666666685,0.0036084391824351965,3,-0.2208333333333333,0.010416666666666666
base_transformer,0.35,-0.019791666666666652,0.019094065395649267,3,-0.18437499999999998,0.017708333333333326
base_transformer,0.5,-0.02291666666666664,0.0018042195912175742,3,-0.19791666666666666,0.020833333333333315
base_transformer,0.65,-0.015624999999999944,0.014320549046737059,3,-0.19687500000000002,0.011458333333333312
base_transformer,0.8,-0.026041666666666668,0.00477351634891234,3,-0.08854166666666667,0.01979166666666669
reasoning_tuned,0.2,-0.03125,,1,-0.28125,0.01874999999999999
reasoning_tuned,0.35,-0.04999999999999999,,1,-0.23125,0.021874999999999978
reasoning_tuned,0.5,0.003124999999999989,,1,-0.15625,0.0
reasoning_tuned,0.65,-0.018750000000000017,,1,-0.171875,0.012500000000000011
reasoning_tuned,0.8,-0.015625,,1,-0.103125,0.015625
