model_name,group,params_b,layer_target,interaction,acc_control,acc_surgery,acc_jitter,acc_both,surgery_effect,jitter_effect
Qwen2.5-7B,base_transformer,7.0,0.2,-0.012500000000000067,0.703125,0.040625,0.7125,0.0375,-0.6625,0.009375000000000022
Qwen2.5-7B,base_transformer,7.0,0.35,-0.015625,0.703125,0.034375,0.71875,0.034375,-0.66875,0.015625
Qwen2.5-7B,base_transformer,7.0,0.5,-0.021874999999999978,0.703125,0.065625,0.73125,0.071875,-0.6375,0.028124999999999956
Qwen2.5-7B,base_transformer,7.0,0.65,1.1102230246251565e-16,0.703125,0.1,0.7,0.096875,-0.603125,-0.0031250000000000444
Qwen2.5-7B,base_transformer,7.0,0.8,-0.021874999999999978,0.703125,0.384375,0.709375,0.36875,-0.31875,0.006249999999999978
Qwen3-8B,base_transformer,8.0,0.2,-0.012500000000000011,0.46875,0.45,0.484375,0.453125,-0.01874999999999999,0.015625
Qwen3-8B,base_transformer,8.0,0.35,-0.04062499999999991,0.46875,0.559375,0.490625,0.540625,0.09062499999999996,0.021874999999999978
Qwen3-8B,base_transformer,8.0,0.5,-0.024999999999999967,0.46875,0.490625,0.4875,0.484375,0.021874999999999978,0.01874999999999999
Qwen3-8B,base_transformer,8.0,0.65,-0.02812500000000001,0.46875,0.45625,0.49375,0.453125,-0.012500000000000011,0.025000000000000022
Qwen3-8B,base_transformer,8.0,0.8,-0.03125,0.46875,0.490625,0.503125,0.49375,0.021874999999999978,0.034375000000000044
OLMo2-7B,base_transformer,7.0,0.2,-0.006249999999999978,0.859375,0.878125,0.865625,0.878125,0.018750000000000044,0.006249999999999978
OLMo2-7B,base_transformer,7.0,0.35,-0.0031250000000000444,0.859375,0.884375,0.875,0.896875,0.025000000000000022,0.015625
OLMo2-7B,base_transformer,7.0,0.5,-0.021874999999999978,0.859375,0.88125,0.875,0.875,0.021874999999999978,0.015625
OLMo2-7B,base_transformer,7.0,0.65,-0.018749999999999933,0.859375,0.884375,0.871875,0.878125,0.025000000000000022,0.012499999999999956
OLMo2-7B,base_transformer,7.0,0.8,-0.025000000000000022,0.859375,0.890625,0.878125,0.884375,0.03125,0.018750000000000044
DSR1-7B,reasoning_tuned,7.0,0.2,-0.03125,0.34375,0.0625,0.3625,0.05,-0.28125,0.01874999999999999
DSR1-7B,reasoning_tuned,7.0,0.35,-0.04999999999999999,0.34375,0.1125,0.365625,0.084375,-0.23125,0.021874999999999978
DSR1-7B,reasoning_tuned,7.0,0.5,0.003124999999999989,0.34375,0.1875,0.34375,0.190625,-0.15625,0.0
DSR1-7B,reasoning_tuned,7.0,0.65,-0.018750000000000017,0.34375,0.171875,0.35625,0.165625,-0.171875,0.012500000000000011
DSR1-7B,reasoning_tuned,7.0,0.8,-0.015625,0.34375,0.240625,0.359375,0.240625,-0.103125,0.015625
