model_a,paradigm_a,model_b,paradigm_b,layer,layer_frac,cka,rdi
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,0,0.0,0.974317961462572,0.02568203853742801
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,1,0.03571428571428571,0.9574631167840434,0.04253688321595661
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,2,0.07142857142857142,0.7472061555546267,0.25279384444537334
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,3,0.10714285714285714,0.9839258295461332,0.016074170453866832
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,4,0.14285714285714285,0.9839318451361643,0.016068154863835726
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,5,0.17857142857142858,0.9839203237521699,0.016079676247830132
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,6,0.21428571428571427,0.9849276218955075,0.015072378104492468
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,7,0.25,0.9854187256191062,0.01458127438089385
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,8,0.2857142857142857,0.9860274175565702,0.013972582443429804
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,9,0.32142857142857145,0.986848888416481,0.013151111583519004
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,10,0.35714285714285715,0.9867821246637651,0.013217875336234863
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,11,0.39285714285714285,0.9867063434456423,0.013293656554357658
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,12,0.42857142857142855,0.9871583949571452,0.012841605042854809
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,13,0.4642857142857143,0.986955123733759,0.013044876266240957
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,14,0.5,0.9864343912244882,0.013565608775511828
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,15,0.5357142857142857,0.986330831505275,0.013669168494724993
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,16,0.5714285714285714,0.9862244712677722,0.01377552873222776
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,17,0.6071428571428571,0.9872902375631701,0.012709762436829863
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,18,0.6428571428571429,0.9874946290003128,0.012505370999687182
DSR1-1.5B,reasoning,Qwen3-1.7B,transformer,19,0.6785714285714286,0.9854730263410213,0.014526973658978704
