layer,layer_frac,rsa_distance
0,0.0,0.2793388429752067
1,0.03571428571428571,0.17960969511771663
2,0.07142857142857142,0.4224598930481285
3,0.10714285714285714,0.10554899645808746
4,0.14285714285714285,0.14244044725328164
5,0.17857142857142858,0.15995555246892157
6,0.21428571428571427,0.2308424196124732
7,0.25,0.14810750746579626
8,0.2857142857142857,0.1461698729078409
9,0.32142857142857145,0.1780609764566985
10,0.35714285714285715,0.17142162650184045
11,0.39285714285714285,0.1435724703104384
12,0.42857142857142855,0.10191679977776247
13,0.4642857142857143,0.10213903743315533
14,0.5,0.08812417528995087
15,0.5357142857142857,0.10121536217792915
16,0.5714285714285714,0.07855406625460126
17,0.6071428571428571,0.08426974095423312
18,0.6428571428571429,0.08565178137370666
19,0.6785714285714286,0.09340231960552836
20,0.7142857142857143,0.10470866032363368
21,0.75,0.17044933675949725
22,0.7857142857142857,0.2510174317660949
23,0.8214285714285714,0.2487117160913953
24,0.8571428571428571,0.24186401833460658
25,0.8928571428571429,0.29452739773595393
26,0.9285714285714286,0.33503021043128
27,0.9642857142857143,0.4676574762136261
28,1.0,0.29868740884783684
