model_a,model_b,paradigm_a,paradigm_b,pair_type,max_cka,mean_cka,diag_alignment,n_layers_a,n_layers_b
Qwen3-0.6B,Gemma3-1B,transformer,transformer,transformer_vs_transformer,0.9672203619413808,0.7729737151434706,0.8281099980540161,29,27
Qwen3-0.6B,Qwen3-1.7B,transformer,transformer,transformer_vs_transformer,0.9936290402462731,0.8157976955169225,0.933625997116338,29,29
Qwen3-0.6B,Gemma2-2B,transformer,transformer,transformer_vs_transformer,0.9669393059654727,0.8507496765014144,0.8980875847444975,29,27
Qwen3-0.6B,Mamba-790M,transformer,ssm,ssm_vs_transformer,0.9425089374453509,0.3452266665083707,0.32928150937336315,29,49
Qwen3-0.6B,Mamba-1.4B,transformer,ssm,ssm_vs_transformer,0.952324143095926,0.36476337715764334,0.36643896758423355,29,49
Qwen3-0.6B,Mamba-2.8B,transformer,ssm,ssm_vs_transformer,0.9409416287733992,0.366242549238385,0.3690844738765006,29,65
Qwen3-0.6B,FalconH1-0.5B,transformer,hybrid,hybrid_vs_transformer,0.9661943761450421,0.356652481547752,0.3916188245199741,29,37
Qwen3-0.6B,FalconH1-1.5B,transformer,hybrid,hybrid_vs_transformer,0.9665735700761724,0.6325032436640794,0.7121820361047076,29,25
Qwen3-0.6B,Zamba2-1.2B,transformer,hybrid,hybrid_vs_transformer,0.9781774585404447,0.570877922604918,0.6047339519433552,29,39
Qwen3-0.6B,DSR1-1.5B,transformer,reasoning,reasoning_vs_transformer,0.9749231934784433,0.8503105986646833,0.9470345775055908,29,29
Gemma3-1B,Qwen3-1.7B,transformer,transformer,transformer_vs_transformer,0.9705700442963485,0.7753581273084336,0.8624603454911438,27,29
Gemma3-1B,Gemma2-2B,transformer,transformer,transformer_vs_transformer,0.982598074256665,0.8529721176325595,0.9106935427651814,27,27
Gemma3-1B,Mamba-790M,transformer,ssm,ssm_vs_transformer,0.8453016616860266,0.4217965726441356,0.42994215906272865,27,49
Gemma3-1B,Mamba-1.4B,transformer,ssm,ssm_vs_transformer,0.8554385699034049,0.4534781478144113,0.47766916596890446,27,49
Gemma3-1B,Mamba-2.8B,transformer,ssm,ssm_vs_transformer,0.8386704429247731,0.44809257581598577,0.4697818381178941,27,65
Gemma3-1B,FalconH1-0.5B,transformer,hybrid,hybrid_vs_transformer,0.8718722882052355,0.3581500770086412,0.4054337061019804,27,37
Gemma3-1B,FalconH1-1.5B,transformer,hybrid,hybrid_vs_transformer,0.8827298535219396,0.5992782255936433,0.65327743773503,27,25
Gemma3-1B,Zamba2-1.2B,transformer,hybrid,hybrid_vs_transformer,0.961289073978058,0.6329595323713354,0.7147238715669233,27,39
Gemma3-1B,DSR1-1.5B,transformer,reasoning,reasoning_vs_transformer,0.9686425416304589,0.7826311135555482,0.8295339820405337,27,29
Qwen3-1.7B,Gemma2-2B,transformer,transformer,transformer_vs_transformer,0.9706323144993037,0.8488340398950917,0.910963775863488,29,27
Qwen3-1.7B,Mamba-790M,transformer,ssm,ssm_vs_transformer,0.9374836301004894,0.371200946944801,0.3633160698112462,29,49
Qwen3-1.7B,Mamba-1.4B,transformer,ssm,ssm_vs_transformer,0.9484153597592766,0.3943303469124634,0.39691953900869376,29,49
Qwen3-1.7B,Mamba-2.8B,transformer,ssm,ssm_vs_transformer,0.9381547642574191,0.3956007599686006,0.40206689432258375,29,65
Qwen3-1.7B,FalconH1-0.5B,transformer,hybrid,hybrid_vs_transformer,0.9531123412425275,0.37665324378339216,0.4273929952360479,29,37
Qwen3-1.7B,FalconH1-1.5B,transformer,hybrid,hybrid_vs_transformer,0.9531146943988121,0.6348627301458989,0.7114170193548276,29,25
Qwen3-1.7B,Zamba2-1.2B,transformer,hybrid,hybrid_vs_transformer,0.9668159467718531,0.5952274591031461,0.6456047578509375,29,39
Qwen3-1.7B,DSR1-1.5B,transformer,reasoning,reasoning_vs_transformer,0.9889156929063966,0.8535709142590225,0.9487809876254747,29,29
Gemma2-2B,Mamba-790M,transformer,ssm,ssm_vs_transformer,0.7911489090554651,0.5062701554843592,0.49896922015249917,27,49
Gemma2-2B,Mamba-1.4B,transformer,ssm,ssm_vs_transformer,0.8257870092569816,0.5329201529229584,0.5433025218398702,27,49
Gemma2-2B,Mamba-2.8B,transformer,ssm,ssm_vs_transformer,0.8538686415786676,0.5290358281961535,0.5387263250169689,27,65
Gemma2-2B,FalconH1-0.5B,transformer,hybrid,hybrid_vs_transformer,0.8620956591028498,0.45060461643387495,0.4806780630567114,27,37
Gemma2-2B,FalconH1-1.5B,transformer,hybrid,hybrid_vs_transformer,0.8292566722520969,0.681947530190257,0.7273666408102443,27,25
Gemma2-2B,Zamba2-1.2B,transformer,hybrid,hybrid_vs_transformer,0.9476934614887939,0.6956911771536312,0.7359342203623471,27,39
Gemma2-2B,DSR1-1.5B,transformer,reasoning,reasoning_vs_transformer,0.98525818021246,0.869405703796149,0.9163780853578315,27,29
Mamba-790M,Mamba-1.4B,ssm,ssm,ssm_vs_ssm,0.9860147193810871,0.8779557623274473,0.9453108744762189,49,49
Mamba-790M,Mamba-2.8B,ssm,ssm,ssm_vs_ssm,0.9861016642151237,0.8757099808950118,0.9477012045465258,49,65
Mamba-790M,FalconH1-0.5B,ssm,hybrid,hybrid_vs_ssm,0.9449111537636915,0.6697125762168549,0.6650455385647132,49,37
Mamba-790M,FalconH1-1.5B,ssm,hybrid,hybrid_vs_ssm,0.9542005613658534,0.4715865496401467,0.47023092729515376,49,25
Mamba-790M,Zamba2-1.2B,ssm,hybrid,hybrid_vs_ssm,0.936400817634108,0.6872314533586683,0.7113727333470634,49,39
Mamba-790M,DSR1-1.5B,ssm,reasoning,reasoning_vs_ssm,0.9089313358360153,0.31931164847823673,0.30603828820790074,49,29
