layer,intrinsic_dim,anisotropy,mean_norm,std_norm,model,paradigm
0,10.146179307742026,0.33283080911543705,0.34022200130525965,0.033535203698054857,Qwen3-0.6B,transformer
1,11.164594855286817,0.7164661733193471,5.202807228975141,0.3146731676854161,Qwen3-0.6B,transformer
2,10.896136182319465,0.7688348029868235,7.689684335934706,0.5484295566476298,Qwen3-0.6B,transformer
3,1.000800524458236,0.9998960037135556,585.5201951405601,225.2030601926224,Qwen3-0.6B,transformer
4,1.001108831403446,0.999854653537065,586.9756207008807,225.13106646598405,Qwen3-0.6B,transformer
5,1.0013354526188172,0.9998318582106196,587.8694031669451,225.19051925834444,Qwen3-0.6B,transformer
6,1.0020758832037853,0.999748462819918,588.8528451039695,225.21671423948638,Qwen3-0.6B,transformer
7,1.0027586235141168,0.9996671654262742,589.140380618605,225.2624880300497,Qwen3-0.6B,transformer
8,1.0034963227730265,0.9995960126035401,590.8278379308454,225.37547308506333,Qwen3-0.6B,transformer
9,1.0040190055377742,0.9995283289850037,591.2462217300882,225.48889716133434,Qwen3-0.6B,transformer
10,1.0054798584694329,0.9993452095562243,594.1705562052094,225.18403555175595,Qwen3-0.6B,transformer
11,1.0077856224575574,0.9990784240187665,597.5795584452642,224.8335104728485,Qwen3-0.6B,transformer
12,1.0102166728636874,0.9987862123792757,600.9442517944915,225.15955774214123,Qwen3-0.6B,transformer
13,1.01108537624902,0.9986763632348882,603.3610759512063,225.18690973354742,Qwen3-0.6B,transformer
14,1.011738239810826,0.9986054328206088,605.009205955779,225.195359817431,Qwen3-0.6B,transformer
15,1.0126197243162882,0.9984891918073066,605.8023165802291,225.29109528274589,Qwen3-0.6B,transformer
16,1.0159558746430273,0.9981093204651269,609.88120906658,225.29204906250547,Qwen3-0.6B,transformer
17,1.0252613031444497,0.9971345036620671,614.6802751624452,225.6047787382556,Qwen3-0.6B,transformer
18,1.0387716494628567,0.995791069625092,624.2864970601588,225.91211574898963,Qwen3-0.6B,transformer
19,1.0616290276322689,0.9937095231660794,636.056146463357,224.63425375913465,Qwen3-0.6B,transformer
20,1.1018074574150705,0.9905176797264865,648.9736555037982,223.712548675375,Qwen3-0.6B,transformer
21,1.1690867099292035,0.9857423842118597,671.028881939731,223.54391716364682,Qwen3-0.6B,transformer
22,1.255728896582419,0.9811094365214351,702.7664024184303,225.73622456730436,Qwen3-0.6B,transformer
23,1.3486081873876974,0.9761198795237522,736.2709037199654,227.6301397312445,Qwen3-0.6B,transformer
24,1.454108658999576,0.9723641833979604,771.4436486823619,227.35752800689895,Qwen3-0.6B,transformer
25,1.6057550421662379,0.968240950926631,827.8857406960384,223.63091493407956,Qwen3-0.6B,transformer
26,1.8762386296673448,0.9643129862284713,905.4007513058932,206.84598476597927,Qwen3-0.6B,transformer
27,2.029485410767808,0.962653113369899,938.4333385555357,199.46220117260592,Qwen3-0.6B,transformer
28,7.832159977240221,0.5652276958570397,71.03523459287125,6.533495070633166,Qwen3-0.6B,transformer
