model,paradigm,d_model,PR_mean,PR_ci_low,PR_ci_high,PR_over_d,ER_mean,ER_ci_low,ER_ci_high,aniso_mean,aniso_ci_low,aniso_ci_high
Qwen3-0.6B,transformer,1024,1.0683159032420064,1.0184246575747622,1.2025140584604426,0.001043277249259772,1.2227698987672506,1.0714983709162438,1.5952675645330225,0.9951261583318555,0.9939009716385983,0.9964184224471636
Gemma3-1B,transformer,1152,1.4503350019750052,1.1998838877209816,1.9363367555277624,0.001258971355881081,2.1947160720007437,1.5699945598163814,3.204073097678167,0.9945819302760427,0.9936820539473254,0.9954842441109649
Qwen3-1.7B,transformer,2048,1.2723833234752886,1.0778633596288039,1.747800017423322,0.0006212809196656683,1.7584456532640467,1.2544818392097956,2.7984376998869975,0.9872241382467786,0.9845603446467013,0.9902049659189004
Gemma2-2B,transformer,2304,2.525216463242254,1.5415593191598256,4.3471413985625675,0.0010960140899488949,4.083917118392933,2.420714599946674,6.245015205103723,0.9517523443946372,0.9434602655649144,0.9610691104433183
Mamba-790M,ssm,1536,6.138113370661591,4.133621870652139,8.276103010941299,0.0039961675590244735,7.391477818639652,5.131841359076378,9.665135737969123,0.8801846340629516,0.8679733078909648,0.8955102167630725
Mamba-1.4B,ssm,2048,6.0008153845596395,3.9708298973081537,8.073792208540517,0.0029300856369920115,7.363953799858715,5.178005868244496,9.478708851065836,0.6030878674787953,0.5385215040011551,0.6708557650408699
Mamba-2.8B,ssm,2560,6.0331463732296955,3.996785304718531,8.046576707977081,0.0023566978020428497,7.42698192572939,5.243744102476342,9.561866706177655,0.6422737751043028,0.5829849434261289,0.704683557176936
FalconH1-0.5B,hybrid,1024,5.657828901758095,3.85699271817474,7.547714410675181,0.00552522353687314,7.137251032882277,5.117324768190945,9.131459251320285,0.8939573347883311,0.8795553600382511,0.9098206424361207
FalconH1-1.5B,hybrid,2048,1.626890093301526,1.2111433529640612,2.567367548343806,0.0007943799283698857,2.5604276159139965,1.641945466888446,4.32431170419629,0.9590541956021365,0.9502286766816987,0.9674102404323415
Zamba2-1.2B,hybrid,2048,4.54355070971661,3.028502827540329,6.102223092570451,0.0022185306199788133,6.359575657727099,4.406274560078693,8.212587529487777,0.8568259284139824,0.8261277766453228,0.8854038057447067
DSR1-1.5B,reasoning,1536,1.0824668777557387,1.024310536140355,1.2345998862026386,0.000704731040205559,1.265361458723014,1.0905343144856108,1.6904054476994974,0.9956339861212459,0.9945560193522462,0.9967326327725954
