model,paradigm,layer,layer_frac,d_model,PR,PR_over_d,effective_rank,ER_over_d,anisotropy
Qwen3-0.6B,transformer,2,0.07142857142857142,1024,10.896136182319465,0.010640757990546352,12.742061051400967,0.012443418995508757,0.7688348029868235
Qwen3-0.6B,transformer,3,0.10714285714285714,1024,1.000800524458236,0.0009773442621662462,1.0045231240271868,0.0009809796133077996,0.9998960037135556
Qwen3-0.6B,transformer,4,0.14285714285714285,1024,1.001108831403446,0.0009776453431674277,1.006107832698156,0.000982527180369293,0.999854653537065
Qwen3-0.6B,transformer,5,0.17857142857142858,1024,1.0013354526188172,0.0009778666529480637,1.0072450289042958,0.0009836377235393514,0.9998318582106196
Qwen3-0.6B,transformer,6,0.21428571428571427,1024,1.0020758832037853,0.0009785897296911965,1.0108352802025908,0.0009871438283228426,0.999748462819918
Qwen3-0.6B,transformer,7,0.25,1024,1.0027586235141168,0.0009792564682755047,1.0140369311167234,0.0009902704405436752,0.9996671654262742
Qwen3-0.6B,transformer,8,0.2857142857142857,1024,1.0034963227730265,0.0009799768777080337,1.0173707637923204,0.0009935261365159379,0.9995960126035401
Qwen3-0.6B,transformer,9,0.32142857142857145,1024,1.0040190055377742,0.0009804873100954827,1.0196834859956239,0.0009957846542926014,0.9995283289850037
Qwen3-0.6B,transformer,10,0.35714285714285715,1024,1.0054798584694329,0.0009819139242865556,1.025993700514237,0.0010019469731584346,0.9993452095562243
Qwen3-0.6B,transformer,11,0.39285714285714285,1024,1.0077856224575574,0.0009841656469312084,1.035660225709953,0.001011386939169876,0.9990784240187665
Qwen3-0.6B,transformer,12,0.42857142857142855,1024,1.0102166728636874,0.0009865397195934448,1.045533628430917,0.0010210289340145673,0.9987862123792757
Qwen3-0.6B,transformer,13,0.4642857142857143,1024,1.01108537624902,0.0009873880627431835,1.0489863271951874,0.0010244007101515502,0.9986763632348882
Qwen3-0.6B,transformer,14,0.5,1024,1.011738239810826,0.0009880256248152597,1.0515681924154587,0.0010269220629057214,0.9986054328206088
Qwen3-0.6B,transformer,15,0.5357142857142857,1024,1.0126197243162882,0.0009888864495276252,1.054935503974815,0.0010302104531004052,0.9984891918073066
Qwen3-0.6B,transformer,16,0.5714285714285714,1024,1.0159558746430273,0.0009921444088310813,1.0677456489425745,0.001042720360295483,0.9981093204651269
Qwen3-0.6B,transformer,17,0.6071428571428571,1024,1.0252613031444497,0.0010012317413520017,1.102582330050588,0.0010767405566900273,0.9971345036620671
Qwen3-0.6B,transformer,18,0.6428571428571429,1024,1.0387716494628567,0.001014425438928571,1.1510060727924762,0.0011240293679614026,0.995791069625092
Qwen3-0.6B,transformer,19,0.6785714285714286,1024,1.0616290276322689,0.0010367470972971376,1.2294737488922693,0.0012006579579026068,0.9937095231660794
Qwen3-0.6B,transformer,20,0.7142857142857143,1024,1.1018074574150705,0.0010759838451319048,1.362698663153258,0.0013307604132356036,0.9905176797264865
Qwen3-0.6B,transformer,21,0.75,1024,1.1690867099292035,0.0011416862401652378,1.5791054830546998,0.0015420951982956053,0.9857423842118597
Qwen3-0.6B,transformer,22,0.7857142857142857,1024,1.255728896582419,0.0012262977505687685,1.849658900577064,0.0018063075200947891,0.9811094365214351
Qwen3-0.6B,transformer,23,0.8214285714285714,1024,1.3486081873876974,0.0013170001829957982,2.132660645334483,0.0020826764114594562,0.9761198795237522
Qwen3-0.6B,transformer,24,0.8571428571428571,1024,1.454108658999576,0.0014200279873042734,2.4467110823407996,0.002389366291348437,0.9723641833979604
Qwen3-0.6B,transformer,25,0.8928571428571429,1024,1.6057550421662379,0.0015681201583654667,2.879620592338837,0.0028121294847058957,0.968240950926631
Qwen3-0.6B,transformer,26,0.9285714285714286,1024,1.8762386296673448,0.0018322642867845164,3.6080603732643737,0.00352349645826599,0.9643129862284713
Qwen3-0.6B,transformer,27,0.9642857142857143,1024,2.029485410767808,0.0019819193464529375,3.9748557312095163,0.0038816950500092933,0.962653113369899
Gemma3-1B,transformer,2,0.07692307692307693,1152,4.73321648796215,0.0041086948680227,8.18497677323848,0.0071050145601028476,0.9579081683065667
Gemma3-1B,transformer,3,0.11538461538461539,1152,2.698518529567284,0.0023424640013604897,5.2710409522186605,0.004575556382134254,0.967001011920743
Gemma3-1B,transformer,4,0.15384615384615385,1152,1.4521147163475696,0.0012605162468294876,2.4103466146312797,0.0020923147696452083,0.9902652717681926
Gemma3-1B,transformer,5,0.19230769230769232,1152,1.1708343713052936,0.0010163492806469561,1.5751023927186723,0.0013672763825682919,0.994995407374769
Gemma3-1B,transformer,6,0.23076923076923078,1152,1.1223734964507202,0.0009742825490023613,1.4225946270793528,0.001234891169339716,0.9968768676016219
Gemma3-1B,transformer,7,0.2692307692307692,1152,1.1098300782935329,0.0009633941651853584,1.385053063723379,0.001202303006704322,0.9973974953565755
Gemma3-1B,transformer,8,0.3076923076923077,1152,1.0676776877843863,0.0009268035484239465,1.2481776805889555,0.0010834875699556904,0.9983090366601023
Gemma3-1B,transformer,9,0.34615384615384615,1152,1.0721560467372735,0.0009306910127927721,1.2633789321961368,0.0010966831008647022,0.9987709548489058
Gemma3-1B,transformer,10,0.38461538461538464,1152,1.0740252292223114,0.0009323135670332564,1.2702536722346978,0.001102650757148175,0.9987825750653577
Gemma3-1B,transformer,11,0.4230769230769231,1152,1.1042656454900925,0.0009585639283768165,1.3675476724767746,0.0011871073545805335,0.9987588726848882
Gemma3-1B,transformer,12,0.46153846153846156,1152,1.0866955066033992,0.0009433120717043396,1.3112307238370315,0.0011382211144418677,0.9987590278220366
Gemma3-1B,transformer,13,0.5,1152,1.103288321273463,0.0009577155566609922,1.3671652446805669,0.0011867753860074365,0.9984943370351345
Gemma3-1B,transformer,14,0.5384615384615384,1152,1.1873867381124936,0.0010307176546115397,1.6393905528127326,0.001423082077094386,0.9973820936885347
Gemma3-1B,transformer,15,0.5769230769230769,1152,1.2545515761125965,0.0010890204653755179,1.8502768408319132,0.0016061430909999246,0.9969208084159011
Gemma3-1B,transformer,16,0.6153846153846154,1152,1.433744407481786,0.0012445697981612726,2.390741026870592,0.0020752960302696114,0.9952937104101693
Gemma3-1B,transformer,17,0.6538461538461539,1152,1.6271097351340826,0.001412421645081669,2.941869937819143,0.0025537065432457836,0.9941593305773326
Gemma3-1B,transformer,18,0.6923076923076923,1152,1.7275975374349402,0.0014996506401344966,3.233946757478656,0.002807245449200222,0.9911745556612139
Gemma3-1B,transformer,19,0.7307692307692307,1152,1.763596806442114,0.0015309000055921127,3.3261388938075434,0.002887273345319048,0.9882301975794825
Gemma3-1B,transformer,20,0.7692307692307693,1152,1.8203666612612937,0.001580179393455984,3.490425478838623,0.003029883228158527,0.9880204358127495
Gemma3-1B,transformer,21,0.8076923076923077,1152,2.0906140988170074,0.0018147691830008746,4.1602895663766795,0.00361136247081309,0.9843716920871235
Gemma3-1B,transformer,22,0.8461538461538461,1152,2.195736343758049,0.0019060211317344174,4.411223480095381,0.003829187048693907,0.9825013151864778
Gemma3-1B,transformer,23,0.8846153846153846,1152,2.383237128563828,0.0020687822296561005,4.834299072783882,0.00419644016734712,0.9818287291408936
Gemma3-1B,transformer,24,0.9230769230769231,1152,2.601137129467817,0.0022579315359963687,5.297164650468666,0.004598233203531828,0.9793231267501934
Gemma3-1B,transformer,25,0.9615384615384616,1152,2.5829526778955505,0.002242146421784332,5.265443032490673,0.00457069707681482,0.9738268303063317
Qwen3-1.7B,transformer,2,0.07142857142857142,2048,6.007282721536505,0.0029332435163752467,9.328012609292259,0.004554693656880986,0.7882199969071593
Qwen3-1.7B,transformer,3,0.10714285714285714,2048,1.0012828684365045,0.000488907650603762,1.0069399540652575,0.0004916698994459265,0.9998588771162921
Qwen3-1.7B,transformer,4,0.14285714285714285,2048,1.0016588492033478,0.0004890912349625722,1.0088012726959468,0.0004925787464335678,0.9998152862699272
Qwen3-1.7B,transformer,5,0.17857142857142858,2048,1.0021099028734648,0.000489311476012434,1.0109639942293058,0.0004936347628072782,0.9997649265137111
Qwen3-1.7B,transformer,6,0.21428571428571427,2048,1.0031619997002024,0.0004898251951661144,1.0158462525185399,0.0004960186779875683,0.999648414079863
Qwen3-1.7B,transformer,7,0.25,2048,1.0045880053070868,0.000490521486966351,1.0222049840413534,0.0004991235273639421,0.999525172610305
Qwen3-1.7B,transformer,8,0.2857142857142857,2048,1.0061593793641885,0.0004912887594551702,1.0289116652233976,0.0005023982740348621,0.9993678904721058
Qwen3-1.7B,transformer,9,0.32142857142857145,2048,1.0075650617005152,0.0004919751277834547,1.0348392154516945,0.0005052925856697727,0.9992234539760341
Qwen3-1.7B,transformer,10,0.35714285714285715,2048,1.0112347914043491,0.0004937669879904048,1.0497354869099478,0.0005125661557177479,0.9987996452190641
Qwen3-1.7B,transformer,11,0.39285714285714285,2048,1.0177754695713435,0.0004969606785016325,1.0749655254560821,0.0005248855104766026,0.9980422812349842
Qwen3-1.7B,transformer,12,0.42857142857142855,2048,1.0251905927149403,0.0005005813440990919,1.1024910911852361,0.0005383257281177911,0.9973197272886917
Qwen3-1.7B,transformer,13,0.4642857142857143,2048,1.0295473308680807,0.00050270865765043,1.1182785936638715,0.0005460344695624373,0.9968073029625535
Qwen3-1.7B,transformer,14,0.5,2048,1.0338114801970346,0.0005047907618149583,1.1335942853933805,0.0005535128346647366,0.9963716778580772
Qwen3-1.7B,transformer,15,0.5357142857142857,2048,1.0384968683307954,0.0005070785489896462,1.150585991177686,0.0005618095660047294,0.9958704546414433
Qwen3-1.7B,transformer,16,0.5714285714285714,2048,1.0554448730475712,0.0005153539419177594,1.2092183002373906,0.0005904386231627884,0.9941255922236013
Qwen3-1.7B,transformer,17,0.6071428571428571,2048,1.0946702152470076,0.0005345069410385779,1.3410787006066123,0.0006548235842805724,0.9909604807162519
Qwen3-1.7B,transformer,18,0.6428571428571429,2048,1.1651461523311628,0.0005689190196929506,1.568489628604789,0.0007658640764671821,0.9857201882461922
Qwen3-1.7B,transformer,19,0.6785714285714286,2048,1.2673999185482399,0.0006188476164786327,1.8886982699067822,0.000922215952102921,0.9797457388104065
Qwen3-1.7B,transformer,20,0.7142857142857143,2048,1.4606955745700063,0.0007132302610205109,2.4718618518027555,0.0012069637948255642,0.970578581416678
Qwen3-1.7B,transformer,21,0.75,2048,1.8146451407736368,0.0008860571976433773,3.4536147330721625,0.0016863353188828918,0.9598892800572312
Qwen3-1.7B,transformer,22,0.7857142857142857,2048,2.260685068930323,0.0011038501313136342,4.544147013934892,0.0022188217841478965,0.9500280830405953
Qwen3-1.7B,transformer,23,0.8214285714285714,2048,2.725788549704155,0.001330951440285232,5.530035988824376,0.0027002128851681523,0.9436334974824963
Qwen3-1.7B,transformer,24,0.8571428571428571,2048,3.2232166511963527,0.001573836255466969,6.429350796073085,0.003139331443395061,0.9420612509181543
Qwen3-1.7B,transformer,25,0.8928571428571429,2048,3.884036264620905,0.0018965020823344262,7.445174657191795,0.003635339188081931,0.9445548542697395
