release_cohort,inferred_paradigm,model_count,mean_adoption_residual,median_downloads,mean_log10_params,mean_support_at_release,mean_current_support,mean_support_gain_after_release
post_shock_release,diffusion,1,-0.4770254939957974,34462.0,10.211004163377856,0.7857142857142858,0.275,-0.5107142857142858
post_shock_release,hybrid,8,-0.4822870886026474,10055.0,9.397133890549494,0.8893229166666667,0.70625,-0.18307291666666667
pre_shock_release,hybrid,17,-1.158680635568111,998.0,9.719908157780301,0.0,0.5147058823529411,0.5147058823529411
post_shock_release,liquid,1,-0.5305060989077415,21514.0,9.409810138055938,0.8750000000000001,0.525,-0.3500000000000001
post_shock_release,reasoning,10,0.6177525143506324,352524.5,10.232095816184039,0.975,0.9675,-0.007499999999999984
post_shock_release,rwkv,1,-2.0793725795138918,212.0,9.183954078286476,0.7857142857142858,0.275,-0.5107142857142858
pre_shock_release,rwkv,2,-1.9104696301211817,2618.5,9.900056831892808,0.0,0.275,0.275
post_shock_release,ssm,6,-0.5481879025212791,3197.5,8.886062452816478,0.29166666666666663,0.5333333333333333,0.24166666666666667
pre_shock_release,ssm,3,-1.1911102950707964,6617.0,9.863357717999511,0.0,0.525,0.525
post_shock_release,transformer,43,0.2999198369445939,83679.0,10.185261097575198,0.9617732558139536,0.9156976744186046,-0.04607558139534882
pre_shock_release,transformer,23,0.8625915877842908,567179.0,10.17727010996197,0.0,0.8652173913043477,0.8652173913043477
pre_shock_release,xlstm,1,-1.5875154046838844,694.0,9.83666742056445,0.0,0.075,0.075
