event_id,event_framework,event_arch_key,event_paradigm,event_date,event_n,treated_pre_n,treated_post_n,control_pre_n,control_post_n,did_raw,did_coef,did_se,did_t,pretrend_slope_diff,pretrend_t,pretrend_pass,did_coef_weighted,did_raw_weighted
tgi::mixtral,tgi,mixtral,transformer,2024-01-08,66,1,1,1,63,0.027282319143761224,-5.207197805481978,2.125024695132873,-2.450417549221179,,,True,-0.17175165175502777,0.0008998665984448981
llamacpp::mixtral,llamacpp,mixtral,transformer,2024-01-08,66,1,1,1,63,0.027282319143761224,-5.207197805481978,2.125024695132873,-2.450417549221179,,,True,-0.17175165175502777,0.0008998665984448981
vllm::mixtral,vllm,mixtral,transformer,2024-01-08,66,1,1,1,63,0.027282319143761224,-5.207197805481978,2.125024695132873,-2.450417549221179,,,True,-0.17175165175502777,0.0008998665984448981
bnb::mixtral,bnb,mixtral,transformer,2024-01-08,66,1,1,1,63,0.027282319143761224,-5.207197805481978,2.125024695132873,-2.450417549221179,,,True,-0.17175165175502777,0.0008998665984448981
awq::mixtral,awq,mixtral,transformer,2024-02-01,66,1,1,1,63,0.027282319143761224,-5.207197805481978,2.125024695132873,-2.450417549221179,,,True,-0.17175165175502777,0.0008998665984448981
gptq::mixtral,gptq,mixtral,transformer,2024-02-01,66,1,1,1,63,0.027282319143761224,-5.207197805481978,2.125024695132873,-2.450417549221179,,,True,-0.17175165175502777,0.0008998665984448981
llamacpp::qwen_moe,llamacpp,qwen_moe,transformer,2024-04-01,66,1,1,2,62,1.6336929291821565,1.7073050780476522,0.6099557025203862,2.7990640484102856,,,True,0.05631291112001252,0.05388492420091071
bnb::qwen_moe,bnb,qwen_moe,transformer,2024-04-01,66,1,1,2,62,1.6336929291821565,1.7073050780476522,0.6099557025203862,2.7990640484102856,,,True,0.05631291112001252,0.05388492420091071
vllm::qwen_moe,vllm,qwen_moe,transformer,2024-04-01,66,1,1,2,62,1.6336929291821565,1.7073050780476522,0.6099557025203862,2.7990640484102856,,,True,0.05631291112001252,0.05388492420091071
bnb::jamba,bnb,jamba,hybrid,2024-04-18,26,1,2,2,21,-0.5187412374724439,4.92272797873945,3.769738753371986,1.305853880281791,,,True,0.06396348198262153,-0.006740265954164689
gptq::qwen_moe,gptq,qwen_moe,transformer,2024-05-01,66,1,1,5,59,-0.6474271586784075,1.707305078047587,0.60995570252554,2.799064048386528,,,True,0.05631291112001036,-0.021354419026874013
llamacpp::jamba,llamacpp,jamba,hybrid,2024-06-01,26,1,2,2,21,-0.5187412374724439,4.92272797873945,3.769738753371986,1.305853880281791,,,True,0.06396348198262153,-0.006740265954164689
llamacpp::gemma2,llamacpp,gemma2,transformer,2024-06-27,66,2,1,6,57,-0.17018308100139196,10.649903901419579,4.851974630004643,2.1949628169035558,,,True,0.351271193150271,-0.005613235055518175
awq::gemma2,awq,gemma2,transformer,2024-06-27,66,2,1,6,57,-0.17018308100139196,10.649903901419579,4.851974630004643,2.1949628169035558,,,True,0.351271193150271,-0.005613235055518175
gptq::gemma2,gptq,gemma2,transformer,2024-06-27,66,2,1,6,57,-0.17018308100139196,10.649903901419579,4.851974630004643,2.1949628169035558,,,True,0.351271193150271,-0.005613235055518175
bnb::gemma2,bnb,gemma2,transformer,2024-06-27,66,2,1,6,57,-0.17018308100139196,10.649903901419579,4.851974630004643,2.1949628169035558,,,True,0.351271193150271,-0.005613235055518175
tgi::gemma2,tgi,gemma2,transformer,2024-06-27,66,2,1,6,57,-0.17018308100139196,10.649903901419579,4.851974630004643,2.1949628169035558,,,True,0.351271193150271,-0.005613235055518175
vllm::gemma2,vllm,gemma2,transformer,2024-06-27,66,2,1,6,57,-0.17018308100139196,10.649903901419579,4.851974630004643,2.1949628169035558,,,True,0.351271193150271,-0.005613235055518175
vllm::jamba,vllm,jamba,hybrid,2024-07-02,26,1,2,2,21,-0.5187412374724439,4.92272797873945,3.769738753371986,1.305853880281791,,,True,0.06396348198262153,-0.006740265954164689
vllm::nemotron,vllm,nemotron,transformer,2024-10-01,66,1,1,25,39,0.8068129201665705,1.0427242020563217,1.1139709056552665,0.9360425813302228,-0.04868189853754889,-0.4173700239132767,True,0.03439270231670027,0.02661152060519423
awq::nemotron,awq,nemotron,transformer,2024-10-01,66,1,1,25,39,0.8068129201665705,1.0427242020563217,1.1139709056552665,0.9360425813302228,-0.04868189853754889,-0.4173700239132767,True,0.03439270231670027,0.02661152060519423
llamacpp::nemotron,llamacpp,nemotron,transformer,2024-10-01,66,1,1,25,39,0.8068129201665705,1.0427242020563217,1.1139709056552665,0.9360425813302228,-0.04868189853754889,-0.4173700239132767,True,0.03439270231670027,0.02661152060519423
tgi::nemotron,tgi,nemotron,transformer,2024-10-01,66,1,1,25,39,0.8068129201665705,1.0427242020563217,1.1139709056552665,0.9360425813302228,-0.04868189853754889,-0.4173700239132767,True,0.03439270231670027,0.02661152060519423
gptq::nemotron,gptq,nemotron,transformer,2024-10-01,66,1,1,25,39,0.8068129201665705,1.0427242020563217,1.1139709056552665,0.9360425813302228,-0.04868189853754889,-0.4173700239132767,True,0.03439270231670027,0.02661152060519423
bnb::nemotron,bnb,nemotron,transformer,2024-10-01,66,1,1,25,39,0.8068129201665705,1.0427242020563217,1.1139709056552665,0.9360425813302228,-0.04868189853754889,-0.4173700239132767,True,0.03439270231670027,0.02661152060519423
vllm::falcon3,vllm,falcon3,transformer,2024-12-12,66,1,3,38,24,-0.5366415950929998,-1.19611415115004,1.2762686457650751,-0.9371962204971465,-0.12380034117013221,-0.84013654393674,True,-0.039452040967467586,-0.01770032247683058
awq::falcon3,awq,falcon3,transformer,2024-12-12,66,1,3,38,24,-0.5366415950929998,-1.19611415115004,1.2762686457650751,-0.9371962204971465,-0.12380034117013221,-0.84013654393674,True,-0.039452040967467586,-0.01770032247683058
gptq::falcon3,gptq,falcon3,transformer,2024-12-12,66,1,3,38,24,-0.5366415950929998,-1.19611415115004,1.2762686457650751,-0.9371962204971465,-0.12380034117013221,-0.84013654393674,True,-0.039452040967467586,-0.01770032247683058
bnb::falcon3,bnb,falcon3,transformer,2024-12-12,66,1,3,38,24,-0.5366415950929998,-1.19611415115004,1.2762686457650751,-0.9371962204971465,-0.12380034117013221,-0.84013654393674,True,-0.039452040967467586,-0.01770032247683058
tgi::falcon3,tgi,falcon3,transformer,2024-12-12,66,1,3,38,24,-0.5366415950929998,-1.19611415115004,1.2762686457650751,-0.9371962204971465,-0.12380034117013221,-0.84013654393674,True,-0.039452040967467586,-0.01770032247683058
llamacpp::falcon3,llamacpp,falcon3,transformer,2024-12-12,66,1,3,38,24,-0.5366415950929998,-1.19611415115004,1.2762686457650751,-0.9371962204971465,-0.12380034117013221,-0.84013654393674,True,-0.039452040967467586,-0.01770032247683058
llamacpp::granite_hybrid,llamacpp,granite_hybrid,hybrid,2025-10-01,25,2,2,19,2,-0.959884616515452,0.06970854192793881,0.4968198153933518,0.1403095041061271,0.2807269729961171,1.04240877777267,True,0.0008709213134425138,-0.011992561425730285
vllm::granite_hybrid,vllm,granite_hybrid,hybrid,2025-10-01,25,2,2,19,2,-0.959884616515452,0.06970854192793881,0.4968198153933518,0.1403095041061271,0.2807269729961171,1.04240877777267,True,0.0008709213134425138,-0.011992561425730285
bnb::granite_hybrid,bnb,granite_hybrid,hybrid,2025-10-01,25,2,2,19,2,-0.959884616515452,0.06970854192793881,0.4968198153933518,0.1403095041061271,0.2807269729961171,1.04240877777267,True,0.0008709213134425138,-0.011992561425730285
