framework,arch_key,event_id,date_raw,date_added,current_support_level,has_date,valid_event,mid_sample_shock
bnb,llama,bnb::llama,2023-03-01,2023-03-01,1.0,True,True,False
tgi,llama,tgi::llama,2023-03-01,2023-03-01,1.0,True,True,False
llamacpp,llama,llamacpp::llama,2023-03-10,2023-03-10,1.0,True,True,False
gptq,llama,gptq::llama,2023-04-01,2023-04-01,1.0,True,True,False
bnb,rwkv5,bnb::rwkv5,2023-05-09,2023-05-09,0.5,True,True,False
awq,llama,awq::llama,2023-06-01,2023-06-01,1.0,True,True,False
vllm,baichuan,vllm::baichuan,2023-06-15,2023-06-15,1.0,True,True,False
vllm,llama,vllm::llama,2023-06-20,2023-06-20,1.0,True,True,False
vllm,internlm,vllm::internlm,2023-07-06,2023-07-06,1.0,True,True,False
awq,baichuan,awq::baichuan,2023-08-01,2023-08-01,1.0,True,True,False
bnb,baichuan,bnb::baichuan,2023-08-01,2023-08-01,1.0,True,True,False
gptq,baichuan,gptq::baichuan,2023-08-01,2023-08-01,1.0,True,True,False
llamacpp,baichuan,llamacpp::baichuan,2023-08-01,2023-08-01,1.0,True,True,False
awq,internlm,awq::internlm,2023-09-01,2023-09-01,1.0,True,True,False
awq,tinyllama,awq::tinyllama,2023-09-01,2023-09-01,1.0,True,True,False
bnb,internlm,bnb::internlm,2023-09-01,2023-09-01,1.0,True,True,False
bnb,tinyllama,bnb::tinyllama,2023-09-01,2023-09-01,1.0,True,True,False
gptq,internlm,gptq::internlm,2023-09-01,2023-09-01,1.0,True,True,False
gptq,tinyllama,gptq::tinyllama,2023-09-01,2023-09-01,1.0,True,True,False
llamacpp,internlm,llamacpp::internlm,2023-09-01,2023-09-01,1.0,True,True,False
llamacpp,tinyllama,llamacpp::tinyllama,2023-09-01,2023-09-01,1.0,True,True,False
tgi,internlm,tgi::internlm,2023-09-01,2023-09-01,0.5,True,True,False
tgi,tinyllama,tgi::tinyllama,2023-09-01,2023-09-01,1.0,True,True,False
vllm,tinyllama,vllm::tinyllama,2023-09-01,2023-09-01,1.0,True,True,False
vllm,mistral,vllm::mistral,2023-09-27,2023-09-27,1.0,True,True,False
awq,mistral,awq::mistral,2023-10-10,2023-10-10,1.0,True,True,False
bnb,mistral,bnb::mistral,2023-10-10,2023-10-10,1.0,True,True,False
gptq,mistral,gptq::mistral,2023-10-10,2023-10-10,1.0,True,True,False
llamacpp,mistral,llamacpp::mistral,2023-10-10,2023-10-10,1.0,True,True,False
tgi,mistral,tgi::mistral,2023-10-10,2023-10-10,1.0,True,True,False
bnb,retnet,bnb::retnet,2023-12-01,2023-12-01,0.5,True,True,True
bnb,stripedhyena,bnb::stripedhyena,2024-01-01,2024-01-01,0.5,True,True,True
