model_id,org,inferred_paradigm,arch_key,release_date,release_month,downloads,log10_downloads,adoption_residual,log10_params,param_b,recency_months,support_score,measured_tax,support_score_at_release,support_gain_after_release,frameworks_supported_at_release,first_shock_date,post_first_shock_release,months_from_first_shock,imbalance_weight
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB,transformer,smollm3,2025-07-08,2025-07-01,82514.0,4.9165329040054475,0.27525269475350367,9.4878590489479,3.075098624,5.5847568988173455,0.8,0.19999999999999996,1.0,-0.19999999999999996,4,2025-06-01,1.0,1.2155059132720105,0.9789719640111957
LiquidAI/LFM2-1.2B-Exp,LiquidAI,liquid,lfm2,,,,,,,,,0.525,0.475,0.0,0.525,0,2025-02-01,0.0,,2.671076959734819
LiquidAI/LFM2-2.6B-Exp,LiquidAI,liquid,lfm2,2025-12-25,2025-12-01,21514.0,4.3327413504185746,-0.5305060989077415,9.409810138055938,2.56927232,0.0,0.525,0.475,0.8750000000000001,-0.3500000000000001,3,2025-02-01,1.0,10.74244415243101,2.671076959734819
LiquidAI/LFM2-350M-Exp,LiquidAI,liquid,lfm2,,,,,,,,,0.525,0.475,0.0,0.525,0,2025-02-01,0.0,,2.671076959734819
Qwen/Qwen1.5-MoE-A2.7B,Qwen,transformer,qwen_moe,2024-02-29,2024-02-01,61805.0,4.791030637554933,0.6895605166072167,10.155815142852223,14.315784192,21.846254927726676,0.625,0.375,0.0,0.625,0,2024-04-01,0.0,-1.0512483574244416,0.6922377143438292
Qwen/Qwen2.5-0.5B,Qwen,transformer,qwen2,2024-09-15,2024-09-01,1085332.0,6.0355630081146545,2.0055270047004017,8.693755755582796,0.494032768,15.308804204993429,1.0,0.0,1.0,0.0,6,2024-06-07,1.0,3.2851511169513796,0.30957811717237665
Qwen/Qwen2.5-1.5B,Qwen,transformer,qwen2,2024-09-15,2024-09-01,444508.0,5.6478805585813,1.4982598588913323,9.188566928333255,1.543714304,15.308804204993429,1.0,0.0,1.0,0.0,6,2024-06-07,1.0,3.2851511169513796,0.30957811717237665
Qwen/Qwen3-0.6B,Qwen,transformer,qwen3,2025-04-27,2025-04-01,10187332.0,7.008060502457438,2.616650041306066,8.87600548336239,0.751632384,7.9500657030223385,0.9,0.09999999999999998,0.0,0.9,0,2025-04-29,0.0,-0.0657030223390276,0.399663630719621
Qwen/Qwen3-1.7B,Qwen,transformer,qwen3,2025-04-27,2025-04-01,4314635.0,6.634944162772088,2.1391622485767385,9.307868110360154,2.031739904,7.9500657030223385,0.9,0.09999999999999998,0.0,0.9,0,2025-04-29,0.0,-0.0657030223390276,0.399663630719621
RWKV/RWKV7-Goose-World3-1.5B-HF,RWKV,rwkv,rwkv7,2025-03-17,2025-03-01,212.0,2.3283796034387376,-2.0793725795138918,9.183954078286476,1.527404544,9.296977660972404,0.275,0.725,0.7857142857142858,-0.5107142857142858,2,2025-02-01,1.0,1.445466491458607,3.0287165863597787
